case,surface,regime,method,coordinate_error,horizontal_error,vertical_error,height_only_error,saved_discrepancy
paraboloid-disk-rep1-n240-r64,paraboloid,ambient,stress,0.0115893869482,0.309117252793,0.000800934940983,0.0374023658786,2.25514051877e-17
paraboloid-disk-rep1-n240-r64,paraboloid,ambient,stress_fixed_primary,0.0100629764744,0.268666784326,0.00053483596704,0.0374023658786,2.25514051877e-17
paraboloid-disk-rep1-n240-r64,paraboloid,geodesic,stress,0.0141868971067,0.3784860038,0.000932324375789,0.0374023658786,1.73472347598e-17
paraboloid-disk-rep1-n240-r64,paraboloid,geodesic,stress_fixed_primary,0.0145907146324,0.385843794028,0.00215129721029,0.0374023658786,7.2858385991e-17
paraboloid-disk-rep2-n240-r64,paraboloid,ambient,stress,0.00994193123828,0.260950947559,0.00126034565481,0.0377919119706,1.21430643318e-17
paraboloid-disk-rep2-n240-r64,paraboloid,ambient,stress_fixed_primary,0.00795155675136,0.210052571232,0.000459494814611,0.0377919119706,5.89805981832e-17
paraboloid-disk-rep2-n240-r64,paraboloid,geodesic,stress,0.0138061217751,0.363598719049,0.00133939717182,0.0377919119706,4.68375338514e-17
paraboloid-disk-rep2-n240-r64,paraboloid,geodesic,stress_fixed_primary,0.0138474103536,0.362687040976,0.00197089599775,0.0377919119706,6.93889390391e-18
paraboloid-disk-rep3-n240-r64,paraboloid,ambient,stress,0.0103560077126,0.277037796055,0.0014355179356,0.0370208304629,1.90819582357e-17
paraboloid-disk-rep3-n240-r64,paraboloid,ambient,stress_fixed_primary,0.00877099539428,0.236601637688,0.000455247493515,0.0370208304629,3.46944695195e-17
paraboloid-disk-rep3-n240-r64,paraboloid,geodesic,stress,0.0135513524511,0.363713294251,0.00152872086085,0.0370208304629,2.94902990916e-17
paraboloid-disk-rep3-n240-r64,paraboloid,geodesic,stress_fixed_primary,0.0148419611002,0.398100437886,0.00175474369816,0.0370208304629,1.90819582357e-17
saddle-disk-rep1-n240-r64,saddle,ambient,stress,0.00808705536753,0.306462333287,0.000253594144647,0.0263754470691,6.59194920871e-17
saddle-disk-rep1-n240-r64,saddle,ambient,stress_fixed_primary,0.00419624343771,0.159031509504,0.000120045438419,0.0263754470691,2.60208521397e-17
saddle-disk-rep1-n240-r64,saddle,geodesic,stress,0.806341596165,17.5186971333,0.661050767606,0.0263754470691,1.11022302463e-16
saddle-disk-rep1-n240-r64,saddle,geodesic,stress_fixed_primary,0.806824372384,17.515193009,0.661704555697,0.0263754470691,1.11022302463e-16
saddle-disk-rep2-n240-r64,saddle,ambient,stress,0.0289292564161,1.00488601284,0.000824190957355,0.0287769188149,2.08166817117e-17
saddle-disk-rep2-n240-r64,saddle,ambient,stress_fixed_primary,0.0278089416511,0.965737656661,0.0010004661416,0.0287769188149,3.12250225676e-17
saddle-disk-rep2-n240-r64,saddle,geodesic,stress,0.803679076787,16.0212433709,0.658558627435,0.0287769188149,2.22044604925e-16
saddle-disk-rep2-n240-r64,saddle,geodesic,stress_fixed_primary,0.803846717229,15.9945748031,0.659300247188,0.0287769188149,4.4408920985e-16
saddle-disk-rep3-n240-r64,saddle,ambient,stress,0.0104385186501,0.410399835689,0.000345544031479,0.0254210665755,3.46944695195e-17
saddle-disk-rep3-n240-r64,saddle,ambient,stress_fixed_primary,0.00896129260892,0.352376666468,0.000250582545856,0.0254210665755,3.46944695195e-18
saddle-disk-rep3-n240-r64,saddle,geodesic,stress,0.803484338357,18.2454201482,0.656306531849,0.0254210665755,1.11022302463e-16
saddle-disk-rep3-n240-r64,saddle,geodesic,stress_fixed_primary,0.802749416977,18.252158241,0.655284685039,0.0254210665755,2.22044604925e-16
