"replicate","k","method","path_rel","edge_rel","raw_stress","raw_target_rmse","raw_optimal_scale","stress1","stress1_identity","xg_error","xz_path_error","graph_path_error_edge_scale","procrustes","rigid_relative_rmse","similarity_scale","edge_scale","sigma2_sigma1","sigma3_sigma1","package_score_difference","independent_path_difference"
1,71,"stress_mds",0.0227254532259084,0.0507676825176227,751.662017892719,0.0278044634548823,1.00000000000002,0.027804463454882,0.0278152173416971,0.0021673854259394,0.0299579595352185,0.0299604177130077,0.220078760363513,0.235446722127043,0.921003734964886,1.01149704488593,0.950770684299594,0.356551712515592,0,4.44089209850063e-16
1,71,"classical_kk",0.00245799880323223,0.00296199592306245,4039.8240708057,0.0644591304164232,1.04100777006665,0.0510613945500494,0.067190104020525,0.0021673854259394,0.00238399513843518,0.00246187512088667,0.406753013832432,0.419580739040318,0.898714427640376,1.01428435861254,0.941989671077471,0.528191952335879,0,4.44089209850063e-16
1,71,"stress_kk",0.00182992569048974,0.00183399363342151,3184.34005831194,0.0572285755488584,1.01503502962647,0.0552844955278994,0.0581779837955082,0.0021673854259394,0.0022163848392582,0.00179104048087082,0.277384591503481,0.289112808933599,0.921794942360109,1.04209405547966,0.944653655089994,0.555688821546867,0,4.44089209850063e-16
2,70,"stress_mds",0.0226008311331635,0.0506309990914443,703.539383295785,0.0271421109374869,0.999999999999998,0.0271421109374868,0.027152114182489,0.00204721002303402,0.029463852930902,0.0296464164053146,0.22101790789759,0.236294950754809,0.921061272145134,1.01082793096897,0.945996891572937,0.358926154758601,0,2.22044604925031e-16
2,70,"classical_kk",0.00224036493551096,0.0031045615037083,3538.7731893423,0.0608731503883026,1.03859656113293,0.0482464919370132,0.0632963558011633,0.00204721002303402,0.00230810862029454,0.00225282282861982,0.309142630708622,0.316463882178877,0.933564538034417,1.0149858595743,0.944755529728574,0.520223537610751,0,1.11022302462516e-16
2,70,"stress_kk",0.00153826934041208,0.00171122270776223,2988.77605757985,0.0559430450848512,1.01410945489365,0.0541905625074181,0.0568158554970861,0.00204721002303402,0.00208285236982602,0.00151425878746472,0.222955875956833,0.233137101010321,0.934663796143011,1.04232632737326,0.946120737983343,0.55443968599011,0,4.44089209850063e-16
3,67,"stress_mds",0.0234150123247416,0.0523203341786858,837.055263305232,0.0286449921210526,1.00000000000001,0.0286449921210525,0.0286567514757959,0.00212539219729216,0.0303098487883804,0.0305192624836522,0.269745331288159,0.286803096141941,0.908112446949253,1.01129110848507,0.99637443295098,0.370115429488473,0,4.44089209850063e-16
3,67,"classical_kk",0.00269523186066613,0.00283151668809575,4951.58275845416,0.0696696553921145,1.04579991717165,0.05423628990302,0.0729679191860668,0.00212539219729216,0.00220251982258397,0.00273941574302516,0.487158940803145,0.506749203435939,0.862232287360368,1.01198138600588,0.990957053475552,0.559425106646053,0,4.44089209850063e-16
3,67,"stress_kk",0.0016826668562098,0.00150540903958972,3528.02990724501,0.0588081842429444,1.01469356268628,0.0570034269052706,0.059769472180697,0.00212539219729216,0.00202638623060783,0.00169620985371331,0.266956431830134,0.278694834345994,0.923322202891994,1.04402772790989,0.994688444664895,0.57569054029327,0,4.44089209850063e-16
4,72,"stress_mds",0.0225072586798854,0.0496959661220056,770.211599170226,0.0282358515779637,1.00000000000002,0.0282358515779638,0.0282471140170645,0.00203231329713091,0.0305361536193455,0.0307853476735842,0.159893045631274,0.175260846632173,0.932224570128296,1.00951128570626,0.973176053548928,0.361385736336204,0,2.22044604925031e-16
4,72,"classical_kk",0.00201519130810305,0.00273547851638808,3942.1684903078,0.0638797862357564,1.04011123118837,0.0509635103989962,0.0665285358793354,0.00203231329713091,0.00221367398388046,0.00204551533163413,0.307835760377621,0.314770610494324,0.935398749939565,1.01433593078573,0.970178045745445,0.537328609267594,0,4.44089209850063e-16
4,72,"stress_kk",0.000679640847694744,0.00134757372895713,3060.91406347868,0.0562887275734315,1.01325387123682,0.0547524811963864,0.0571204542103896,0.00203231329713091,0.002080773588201,0.000668832677606913,0.0283047036614856,0.0525705250386398,0.957562814767542,1.04372415542658,0.970974846404341,0.557789579165253,0,4.44089209850063e-16
5,73,"stress_mds",0.0224588765128115,0.0498835970459501,768.781863414881,0.0280049725536813,0.999999999999989,0.0280049725536805,0.0280159608662884,0.00211089482590296,0.0298752924332674,0.0302157157639463,0.154279771843435,0.169962468374552,0.932685085942925,1.01135582638528,0.980094024304702,0.361419645198319,0,4.44089209850063e-16
5,73,"classical_kk",0.00214176655132043,0.002509567314001,4306.10506887857,0.066278992475452,1.04140931584422,0.0530686345359262,0.0691209608226942,0.00211089482590296,0.00226184957220392,0.00218214749773028,0.30387411196879,0.310431244766705,0.937543338055284,1.01457073842898,0.976286468816465,0.549285754644825,0,4.44089209850063e-16
5,73,"stress_kk",0.00082735007469937,0.0010666952708664,3191.54766944712,0.0570603267837218,1.01322320811317,0.0555525642143021,0.0579042652122962,0.00211089482590296,0.00214515441518392,0.000830309695709789,0.0892399959684534,0.101470707440395,0.953752798830193,1.04446873013463,0.977880114468232,0.561669294033762,0,4.44089209850063e-16
