"replicate","k","selected","edges","bridges","components_before","degree_min","degree_q05","degree_median","degree_q95","degree_max","length_min","length_q05","length_median","length_q95","length_max"
1,32,FALSE,17865,0,1,32,32,35,43,49,0.000808972459248249,0.0605304250696464,0.198427070933734,0.318079816072229,0.466470240584732
1,66,FALSE,36991,0,1,66,66,71,90,103,0.000808972459248249,0.0867385835576101,0.289015995243223,0.479282925410132,0.661120910463455
1,71,TRUE,39874,0,1,71,71,77,97,107,0.000808972459248249,0.0902687016463819,0.300848635827592,0.499678184626403,0.667444512772294
1,76,FALSE,42758,0,1,76,76,82,105,115,0.000808972459248249,0.0937811747640454,0.3120345606675,0.518397460054022,0.691988537093619
1,80,FALSE,45078,0,1,80,80,87,110,122,0.000808972459248249,0.0961929047993601,0.32112692809093,0.532494315303333,0.700865763107731
2,32,FALSE,17870,0,1,32,32,35,43,49,0.00227000516568146,0.060587159614902,0.195243398840911,0.318303069566093,0.468404995817281
2,65,FALSE,36525,0,1,65,65,71,89,100,0.00227000516568146,0.0856931530997204,0.283738600775001,0.470344598354178,0.63723615532763
2,70,TRUE,39409,0,1,70,70,76,95,107,0.00227000516568146,0.0892044915515031,0.295169541862539,0.488368558141832,0.661684723356761
2,75,FALSE,42301,0,1,75,75,82,102,122,0.00227000516568146,0.0924572197238183,0.306044600033385,0.506356687546307,0.678048514933475
2,80,FALSE,45188,0,1,80,80,87,110,129,0.00227000516568146,0.0958037276713681,0.316932539266966,0.524925046460878,0.693017027501234
3,32,FALSE,17711,0,1,32,32,34,42,52,0.00109515416903426,0.0618629469418213,0.199467896729849,0.309036999053265,0.421395165031637
3,62,FALSE,34319,0,1,62,62,66,83,91,0.00109515416903426,0.0864830132061041,0.282598722855877,0.449179342629348,0.573554802138389
3,67,TRUE,37152,0,1,67,67,72,90,100,0.00109515416903426,0.090045105157571,0.295170080832657,0.468872585400691,0.598757851247695
3,72,FALSE,39966,0,1,72,72,77,97,107,0.00109515416903426,0.0935544708987881,0.307530173809311,0.487466694931909,0.614979960753902
3,80,FALSE,44490,0,1,80,80,86,107,120,0.00109515416903426,0.0996592816077829,0.325323507032423,0.516565751000963,0.658388199013797
4,32,FALSE,17751,0,1,32,32,34,42,50,0.0019402564088945,0.0591191945854629,0.199069904942099,0.320639605269176,0.45482209886833
4,67,FALSE,37481,0,1,67,67,73,89,101,0.0019402564088945,0.0884834024065475,0.292836145843145,0.477736637128806,0.62832436900944
4,72,TRUE,40296,0,1,72,72,78,97,109,0.0019402564088945,0.0920016585024226,0.304187794327549,0.496122427534137,0.647566933576261
4,77,FALSE,43161,0,1,77,77,84,104,117,0.0019402564088945,0.0954459231180358,0.315105593429045,0.515058810212279,0.657263556862311
4,80,FALSE,44857,0,1,80,80,87,107,119,0.0019402564088945,0.097820611714737,0.32143672965262,0.524930602232652,0.682557715875816
5,32,FALSE,17745,0,1,32,32,34,42.05,48,0.00211354485311138,0.061007868951169,0.197698319835402,0.314330561366256,0.429244928817844
5,68,FALSE,37796,0,1,68,68,73,92,100,0.00211354485311138,0.0905885707149395,0.293813345691973,0.472998043607553,0.620097696443496
5,73,TRUE,40625,0,1,73,73,79,99,107,0.00211354485311138,0.0938684414266478,0.30558983379332,0.493304784406125,0.637047552547932
5,78,FALSE,43463,0,1,78,78,84,105,114,0.00211354485311138,0.0971250007104698,0.316845080929623,0.512029864185872,0.652317672965438
5,80,FALSE,44628,0,1,80,80,86,108,117,0.00211354485311138,0.0983490087978525,0.321181078099182,0.519522052612628,0.658897246951478
