"replicate","k","method","alignment","sample_size","seed","subdivisions","coordinate_relative_rmse","coordinate_rmse","alignment_scale","surface_rms","surface_mc_se","surface_forward_rms","surface_reverse_rms","area","reference_area","zero_area_faces"
1,32,"Original saddle","rigid",8000,1902,2,2.15398845846951e-16,2.0045380346763e-16,1,0.0340896823954885,0.000742813557766188,0.047998405082895,0.00451287061069488,7.30793046452647,6.54094176661301,0
1,32,"Original saddle","similarity",8000,1902,2,2.15398845846951e-16,2.0045380346763e-16,1,0.0340896823954885,0.000742813557766188,0.047998405082895,0.00451287061069488,7.30793046452647,6.54094176661301,0
1,32,"Classical MDS","rigid",8000,1902,2,0.396178202801423,0.368690125939408,1,0.32079418183173,0.00137864965470298,0.309391132711659,0.33180557739974,6.60608317260189,6.54094176661301,0
1,32,"Classical MDS","similarity",8000,1902,2,0.376934619433114,0.350781722283128,0.883637018040892,0.297730408605228,0.00130070366954073,0.26095096309544,0.330441200936013,5.15812473434598,6.54094176661301,0
1,32,"Stress MDS","rigid",8000,1902,2,0.312345219551529,0.290673736007496,1,0.260761710086408,0.00110557952502373,0.267212746633933,0.254146978991932,7.16020442754742,6.54094176661301,0
1,32,"Stress MDS","similarity",8000,1902,2,0.292450824199546,0.272159675728699,0.897097875236198,0.238629550124767,0.00101478356811695,0.226328897082194,0.250326496262492,5.76242224005517,6.54094176661301,0
1,32,"Classical MDS + edge-KK","rigid",8000,1902,2,0.421829515185485,0.392561670427511,1,0.3199637185898,0.0013752116428079,0.345478246037458,0.292229950454274,7.87216518444196,6.54094176661301,0
1,32,"Classical MDS + edge-KK","similarity",8000,1902,2,0.403819983791926,0.37580169637884,0.882384987202147,0.290090593617944,0.00122000875389883,0.292667018173656,0.287491080704364,6.12929352026193,6.54094176661301,0
1,32,"Stress MDS + edge-KK","rigid",8000,1902,2,0.317775053552364,0.295726831224351,1,0.238090569756535,0.00104221740324847,0.259086105892848,0.215054943089581,8.1308865864852,6.54094176661301,0
1,32,"Stress MDS + edge-KK","similarity",8000,1902,2,0.300633561281626,0.279774669042285,0.902565869502768,0.216939582012534,0.000931780649973336,0.223494181848365,0.210180672678236,6.62362469532059,6.54094176661301,0
1,66,"Original saddle","rigid",8000,1902,2,2.15398845846951e-16,2.0045380346763e-16,1,0.0340896823954885,0.000742813557766188,0.047998405082895,0.00451287061069488,7.30793046452647,6.54094176661301,0
1,66,"Original saddle","similarity",8000,1902,2,2.15398845846951e-16,2.0045380346763e-16,1,0.0340896823954885,0.000742813557766188,0.047998405082895,0.00451287061069488,7.30793046452647,6.54094176661301,0
1,66,"Classical MDS","rigid",8000,1902,2,0.37953421825948,0.35320095285136,1,0.311127065009103,0.00135349444365258,0.298114524082136,0.323616797607352,6.45806541049022,6.54094176661301,0
1,66,"Classical MDS","similarity",8000,1902,2,0.363219809599335,0.338018488644589,0.894335102341464,0.290504116334453,0.00128095125388969,0.254894459585123,0.32220195171248,5.16538852537644,6.54094176661301,0
1,66,"Stress MDS","rigid",8000,1902,2,0.287782340367221,0.26781510583587,1,0.244755544286237,0.00105338225244517,0.250683202575854,0.238680717411395,7.05384621010046,6.54094176661301,0
1,66,"Stress MDS","similarity",8000,1902,2,0.270949723809784,0.252150388608705,0.908473481578507,0.225331092422678,0.000971995011774528,0.215423203396301,0.234821306237894,5.82170904021782,6.54094176661301,0
1,66,"Classical MDS + edge-KK","rigid",8000,1902,2,0.428665647186219,0.398923490311762,1,0.311096535023683,0.0013318533932609,0.332179912259679,0.28847636662062,7.61779049870401,6.54094176661301,0
1,66,"Classical MDS + edge-KK","similarity",8000,1902,2,0.414299062417104,0.385553703911628,0.892129923486865,0.286242648092008,0.00120047908055285,0.28803147416354,0.284442572524979,6.06296746609836,6.54094176661301,0
1,66,"Stress MDS + edge-KK","rigid",8000,1902,2,0.2935202431632,0.273154895075962,1,0.206259864782203,0.000929220811348119,0.221265781154476,0.190072927399051,7.9735144221112,6.54094176661301,0
1,66,"Stress MDS + edge-KK","similarity",8000,1902,2,0.281102332277476,0.26159857749971,0.919099245332615,0.192707614139874,0.000856186083124938,0.197811485792665,0.187464837192107,6.73557386444802,6.54094176661301,0
1,71,"Original saddle","rigid",8000,1902,2,2.15398845846951e-16,2.0045380346763e-16,1,0.0340896823954885,0.000742813557766188,0.047998405082895,0.00451287061069488,7.30793046452647,6.54094176661301,0
1,71,"Original saddle","similarity",8000,1902,2,2.15398845846951e-16,2.0045380346763e-16,1,0.0340896823954885,0.000742813557766188,0.047998405082895,0.00451287061069488,7.30793046452647,6.54094176661301,0
1,71,"Classical MDS","rigid",8000,1902,2,0.36758242414392,0.342078411412915,1,0.302974518672717,0.00131862500430582,0.290467705852749,0.314985126294196,6.45759852411094,6.54094176661301,0
1,71,"Classical MDS","similarity",8000,1902,2,0.352154107908385,0.327720559780266,0.898804264083636,0.283226994883676,0.00124902027457731,0.249554620719314,0.313301057354289,5.21676518902365,6.54094176661301,0
1,71,"Stress MDS","rigid",8000,1902,2,0.283612568709388,0.263934645914567,1,0.241645520252583,0.00104514460311356,0.247308911230792,0.235846173049561,7.04794409349636,6.54094176661301,0
1,71,"Stress MDS","similarity",8000,1902,2,0.26706104091889,0.248531514640768,0.909861789805197,0.222596474655057,0.000964032335143062,0.212848093527034,0.231935487020908,5.83462978059305,6.54094176661301,0
1,71,"Classical MDS + edge-KK","rigid",8000,1902,2,0.410801448932929,0.382298765737721,1,0.296933555770114,0.00128765484657643,0.316352754011805,0.276152146675911,7.63706668129687,6.54094176661301,0
1,71,"Classical MDS + edge-KK","similarity",8000,1902,2,0.397778063380216,0.370178983211488,0.899403995376091,0.274457854496549,0.0011630173097298,0.27674864772461,0.272147779289667,6.17783361600155,6.54094176661301,0
