"replicate","k","component","elapsed"
1,32,"preparation",23.272
1,32,"classical",0.864000000000004
1,32,"smacof",35.159
1,32,"classical_kk",3.541
1,32,"stress_kk",3.55600000000001
1,66,"preparation",32.926
1,66,"classical",0.807000000000016
1,66,"smacof",33.359
1,66,"classical_kk",8.40199999999999
1,66,"stress_kk",8.41399999999999
1,71,"preparation",0.004999999999999
1,71,"classical",0.935
1,71,"smacof",59.065
1,71,"classical_kk",11.318
1,71,"stress_kk",11.255
1,71,"extra_stress_mds",51.715
1,71,"extra_classical_kk",10.242
1,71,"extra_stress_kk",10.069
1,76,"preparation",37.486
1,76,"classical",0.810999999999979
1,76,"smacof",112.147
1,76,"classical_kk",10.518
1,76,"stress_kk",10.502
1,80,"preparation",38.1849999999999
1,80,"classical",0.808999999999969
1,80,"smacof",110.652
1,80,"classical_kk",11.074
1,80,"stress_kk",11.1379999999999
2,32,"preparation",22.725
2,32,"classical",0.850999999999999
2,32,"smacof",49.76
2,32,"classical_kk",3.57600000000002
2,32,"stress_kk",3.63400000000001
2,65,"preparation",33.277
2,65,"classical",0.814999999999998
2,65,"smacof",67.9119999999999
2,65,"classical_kk",8.41000000000003
2,65,"stress_kk",8.44500000000005
2,70,"preparation",0.00399999999999956
2,70,"classical",0.876999999999999
2,70,"smacof",107.061
2,70,"classical_kk",10.972
2,70,"stress_kk",10.862
2,70,"extra_stress_mds",20.264
2,70,"extra_classical_kk",9.98499999999999
2,70,"extra_stress_kk",9.894
2,75,"preparation",37.73
2,75,"classical",0.812000000000012
2,75,"smacof",85.525
2,75,"classical_kk",10.6469999999999
2,75,"stress_kk",10.5889999999999
2,80,"preparation",38.688
2,80,"classical",0.803999999999974
2,80,"smacof",82.6959999999998
2,80,"classical_kk",11.357
2,80,"stress_kk",11.381
3,32,"preparation",24.588
3,32,"classical",0.880000000000024
3,32,"smacof",91.753
3,32,"classical_kk",3.501
3,32,"stress_kk",3.50899999999999
3,62,"preparation",30.565
3,62,"classical",0.809000000000026
3,62,"smacof",33.4279999999999
3,62,"classical_kk",8.21199999999999
3,62,"stress_kk",8.197
3,67,"preparation",0.00399999999999956
3,67,"classical",0.890000000000001
3,67,"smacof",43.609
3,67,"classical_kk",10.008
3,67,"stress_kk",10.121
3,67,"extra_stress_mds",29.407
3,67,"extra_classical_kk",9.849
3,67,"extra_stress_kk",9.977
3,72,"preparation",34.143
3,72,"classical",0.802000000000021
3,72,"smacof",34.715
3,72,"classical_kk",9.279
3,72,"stress_kk",9.399
3,80,"preparation",37.342
3,80,"classical",0.81800000000004
3,80,"smacof",34.633
3,80,"classical_kk",11.162
3,80,"stress_kk",11.2479999999999
4,32,"preparation",22.759
4,32,"classical",0.856999999999999
4,32,"smacof",37.621
4,32,"classical_kk",3.464
4,32,"stress_kk",3.49699999999999
4,67,"preparation",33.148
4,67,"classical",0.805999999999983
4,67,"smacof",38.273
4,67,"classical_kk",8.52200000000005
4,67,"stress_kk",8.59899999999999
4,72,"preparation",0.004999999999999
4,72,"classical",0.939
4,72,"smacof",69.97
4,72,"classical_kk",11.461
4,72,"stress_kk",11.904
4,72,"extra_stress_mds",49.654
4,72,"extra_classical_kk",10.2
4,72,"extra_stress_kk",10.306
4,77,"preparation",37.454
4,77,"classical",0.811000000000035
4,77,"smacof",60.037
4,77,"classical_kk",10.757
4,77,"stress_kk",10.874
4,80,"preparation",38.738
4,80,"classical",0.824999999999989
4,80,"smacof",57.508
4,80,"classical_kk",11.274
4,80,"stress_kk",11.304
5,32,"preparation",22.809
5,32,"classical",0.858000000000004
5,32,"smacof",32.987
5,32,"classical_kk",3.45500000000001
5,32,"stress_kk",3.44900000000001
5,68,"preparation",33.813
5,68,"classical",0.807999999999993
5,68,"smacof",35.2590000000001
5,68,"classical_kk",8.56600000000003
5,68,"stress_kk",8.68900000000002
5,73,"preparation",0.00399999999999956
5,73,"classical",0.882999999999999
5,73,"smacof",83.19
5,73,"classical_kk",11.671
5,73,"stress_kk",11.2
5,73,"extra_stress_mds",48.63
5,73,"extra_classical_kk",10.119
5,73,"extra_stress_kk",9.868
5,78,"preparation",37.658
5,78,"classical",0.811000000000035
5,78,"smacof",79.757
5,78,"classical_kk",10.651
5,78,"stress_kk",10.816
5,80,"preparation",38.1
5,80,"classical",0.814999999999941
5,80,"smacof",77.3640000000001
5,80,"classical_kk",11.047
5,80,"stress_kk",11.099
