"replicate","k","edges","bridges","components_before","graph_seconds","xg_error","xg_profiled_error","fitted_scale","mean_pair_relative_bias","fraction_shorter","coarse_error","sources32_error","sources64_error","fine16_error","fine128_error","medium16_error"
1,3,1865,3,4,0.981,0.734819915626304,0.216641475100293,1.64287267547833,0.743549174735743,0.00354088722608231,0.734689969666715,0.707779182750018,0.751715740127892,0.645163596076287,NA,0.645130174577183
1,4,2431,1,2,0.603,0.374365935919545,0.133025909452945,1.32992586882328,0.365402286520462,0.00471004810261892,0.3742634866531,0.370261200060334,0.38002853176337,0.32225986462318,NA,0.322233022720107
1,5,3005,0,1,0.167,0.216938559096091,0.0880318343077404,1.18997019283715,0.208171724382631,0.00597942276857296,0.216848485288142,0.225421966049295,0.220201863132648,0.199034627714819,NA,0.199010662148453
1,6,3543,0,1,0.171,0.149138719718224,0.063066690580891,1.13097643019659,0.142434225798839,0.00719869053981828,0.149054104847352,0.15119479077563,0.14948573292081,0.131634417439531,NA,0.13161153681223
1,7,4089,0,1,0.181,0.106494159149593,0.0418184396786682,1.09612421624526,0.103417572723869,0.00845136290753608,0.106411795816512,0.103084162886699,0.103350961708786,0.0994046409851565,NA,0.0993823300292881
1,8,4625,0,1,0.187,0.0815104452217867,0.0305086297033953,1.07462621509939,0.0799179211072005,0.00966227952966328,0.0814286926048648,0.0793473405492365,0.0799799145355421,0.0765716353792276,NA,0.0765493844029102
1,9,5164,0,1,0.21,0.0656933142346101,0.0244776750135159,1.06034862310324,0.0643378421817876,0.0111404329235703,0.0656128159326659,0.0644991457910587,0.0649796519345083,0.0627183591360873,NA,0.0626964314297304
1,10,5719,0,1,0.203,0.0563895563393409,0.0222191823860607,1.05132361478415,0.0546775719720265,0.0126770443613041,0.0563100803283895,0.0553620010499137,0.0556264463450487,0.0529951421408482,NA,0.0529736668240444
1,11,6277,0,1,0.213,0.0490033029763779,0.0205628246234292,1.0440502212176,0.0473107378292416,0.0142220069481561,0.0489260169662577,0.0477867938185297,0.0484323868093337,0.0457125138951064,NA,0.0456915346301576
1,12,6837,0,1,0.222,0.0410351669561426,0.0172551840242549,1.03692894471689,0.0395543221672897,0.0155999465526456,0.0409582746771964,0.0401961506974572,0.0407538242588414,0.0390158025671064,NA,0.0389949758315338
