"replicate","k","method","alignment","sample_size","coordinate_relative_rmse","coordinate_rmse","alignment_scale","surface_rms","surface_mc_se"
1,71,"Original saddle","rigid",2000,2.15398845846951e-16,2.0045380346763e-16,1,0.0329940665191677,0.00146164387013169
1,71,"Original saddle","rigid",8000,2.15398845846951e-16,2.0045380346763e-16,1,0.0340896823954885,0.000742813557766188
1,71,"Original saddle","similarity",2000,2.15398845846951e-16,2.0045380346763e-16,1,0.0329940665191677,0.00146164387013169
1,71,"Original saddle","similarity",8000,2.15398845846951e-16,2.0045380346763e-16,1,0.0340896823954885,0.000742813557766188
1,71,"Metric MDS","rigid",2000,0.367582424143918,0.342078411412914,1,0.304120538908457,0.002625792176799
1,71,"Metric MDS","rigid",8000,0.367582424143918,0.342078411412914,1,0.302974518672716,0.00131862500430582
1,71,"Metric MDS","similarity",2000,0.352154107908384,0.327720559780265,0.898804264083637,0.284791348728405,0.0024969805299759
1,71,"Metric MDS","similarity",8000,0.352154107908384,0.327720559780265,0.898804264083637,0.283226994883675,0.00124902027457731
1,71,"MDS + edge-KK","rigid",2000,0.410801448932927,0.382298765737719,1,0.298559501882238,0.00254650574808669
1,71,"MDS + edge-KK","rigid",8000,0.410801448932927,0.382298765737719,1,0.296933555770113,0.00128765484657643
1,71,"MDS + edge-KK","similarity",2000,0.397778063380214,0.370178983211486,0.899403995376091,0.27675837632468,0.00230155225966666
1,71,"MDS + edge-KK","similarity",8000,0.397778063380214,0.370178983211486,0.899403995376091,0.274457854496548,0.00116301730972979
2,70,"Original saddle","rigid",2000,1.79901827649064e-16,1.65973938290032e-16,1,0.0213156123307234,0.00129461397699135
2,70,"Original saddle","rigid",8000,1.79901827649064e-16,1.65973938290032e-16,1,0.0213792956223838,0.000652128898784904
2,70,"Original saddle","similarity",2000,1.5271853765718e-15,1.40895161967459e-15,0.999999999999998,0.0213156123307233,0.00129461397699134
2,70,"Original saddle","similarity",8000,1.5271853765718e-15,1.40895161967459e-15,0.999999999999998,0.0213792956223837,0.000652128898784901
2,70,"Metric MDS","rigid",2000,0.303627680069601,0.280121010962279,1,0.253839002884314,0.00229668653986038
2,70,"Metric MDS","rigid",8000,0.303627680069601,0.280121010962279,1,0.256496035754251,0.00115064513294261
2,70,"Metric MDS","similarity",2000,0.291378059932556,0.268819748916914,0.918066409526492,0.237844516997693,0.00216883734185223
2,70,"Metric MDS","similarity",8000,0.291378059932556,0.268819748916914,0.918066409526492,0.240467763867437,0.00108768291904841
2,70,"MDS + edge-KK","rigid",2000,0.314652853335538,0.29029262206368,1,0.225226803596863,0.00217889354522706
2,70,"MDS + edge-KK","rigid",8000,0.314652853335538,0.29029262206368,1,0.2279463381573,0.00109636663158464
2,70,"MDS + edge-KK","similarity",2000,0.306706213634033,0.28296120634286,0.931248668416859,0.212960771929245,0.00201134249206341
2,70,"MDS + edge-KK","similarity",8000,0.306706213634033,0.28296120634286,0.931248668416859,0.215288803716201,0.00101390606175709
3,67,"Original saddle","rigid",2000,2.8557931254801e-16,2.71907381243011e-16,1,0.0488097255577098,0.00163689736550686
3,67,"Original saddle","rigid",8000,2.8557931254801e-16,2.71907381243011e-16,1,0.0471108510727626,0.000815925720848296
3,67,"Original saddle","similarity",2000,4.24169993337792e-16,4.03863119710239e-16,1,0.0488097255577098,0.00163689736550687
3,67,"Original saddle","similarity",8000,4.24169993337792e-16,4.03863119710239e-16,1,0.0471108510727627,0.000815925720848296
3,67,"Metric MDS","rigid",2000,0.425376960673132,0.405012304237893,1,0.344323157252407,0.00291090949267033
3,67,"Metric MDS","rigid",8000,0.425376960673132,0.405012304237893,1,0.344088994333095,0.00147883242686672
3,67,"Metric MDS","similarity",2000,0.405728246015193,0.38630425952778,0.877335833464869,0.319734070382662,0.00275415875743486
3,67,"Metric MDS","similarity",8000,0.405728246015193,0.38630425952778,0.877335833464869,0.31956578091121,0.00139922678419523
3,67,"MDS + edge-KK","rigid",2000,0.495775556056323,0.472040610815988,1,0.352912949134114,0.00307529286812244
3,67,"MDS + edge-KK","rigid",8000,0.495775556056323,0.472040610815988,1,0.354304340123147,0.00154275996605049
3,67,"MDS + edge-KK","similarity",2000,0.476136200462496,0.453341477110636,0.864221855369765,0.319330940412262,0.00274688979950884
3,67,"MDS + edge-KK","similarity",8000,0.476136200462496,0.453341477110636,0.864221855369765,0.319751795865447,0.00137364338348151
4,72,"Original saddle","rigid",2000,3.86384444491801e-16,3.58504706251106e-16,1,0.0178914186320261,0.000880186816426638
4,72,"Original saddle","rigid",8000,3.86384444491801e-16,3.58504706251106e-16,1,0.0183217767473297,0.000440415997365127
4,72,"Original saddle","similarity",2000,7.4811030727421e-16,6.94130081518994e-16,1,0.0178914186320261,0.000880186816426637
4,72,"Original saddle","similarity",8000,7.4811030727421e-16,6.94130081518994e-16,1,0.0183217767473297,0.000440415997365126
4,72,"Metric MDS","rigid",2000,0.303923204624751,0.281993493139197,1,0.256982599539999,0.0022726841263668
4,72,"Metric MDS","rigid",8000,0.303923204624751,0.281993493139197,1,0.255342745545105,0.00114224502466951
4,72,"Metric MDS","similarity",2000,0.291900100343645,0.270837921195317,0.91870197974853,0.240060226440849,0.00214857152982844
4,72,"Metric MDS","similarity",8000,0.291900100343645,0.270837921195317,0.91870197974853,0.238725630945203,0.0010779144339435
4,72,"MDS + edge-KK","rigid",2000,0.312357588506519,0.289819290370551,1,0.212575995118116,0.00206304084814252
4,72,"MDS + edge-KK","rigid",8000,0.312357588506519,0.289819290370551,1,0.213268847501736,0.0010434914258048
4,72,"MDS + edge-KK","similarity",2000,0.304925393180579,0.282923368342345,0.933602152418272,0.200089185861031,0.00189448242305443
4,72,"MDS + edge-KK","similarity",8000,0.304925393180579,0.282923368342345,0.933602152418272,0.200620073405725,0.00095650251522831
5,73,"Original saddle","rigid",2000,3.49768317041621e-16,3.26770347902615e-16,1,0.00710038566048704,0.000457723532208076
5,73,"Original saddle","rigid",8000,3.49768317041621e-16,3.26770347902615e-16,1,0.00725495380251706,0.000230429312746327
5,73,"Original saddle","similarity",2000,1.6719135679987e-16,1.56198189389757e-16,1,0.00710038566048703,0.000457723532208076
5,73,"Original saddle","similarity",8000,1.6719135679987e-16,1.56198189389757e-16,1,0.00725495380251705,0.000230429312746326
5,73,"Metric MDS","rigid",2000,0.298862089786721,0.279211307303424,1,0.242897252148725,0.00224158740596377
5,73,"Metric MDS","rigid",8000,0.298862089786721,0.279211307303424,1,0.241450193702152,0.0011090684333546
5,73,"Metric MDS","similarity",2000,0.287197224777744,0.26831343059046,0.920540419283596,0.227824365190366,0.00212562743961174
5,73,"Metric MDS","similarity",8000,0.287197224777744,0.26831343059046,0.920540419283596,0.226018249324125,0.00104930281927756
5,73,"MDS + edge-KK","rigid",2000,0.307645052060864,0.28741677217289,1,0.209652589941691,0.00199455018256906
5,73,"MDS + edge-KK","rigid",8000,0.307645052060864,0.28741677217289,1,0.2084208467421,0.000995484671195667
5,73,"MDS + edge-KK","similarity",2000,0.300648996640763,0.280880721443914,0.935979082866911,0.19997934223986,0.00187682958788778
5,73,"MDS + edge-KK","similarity",8000,0.300648996640763,0.280880721443914,0.935979082866911,0.198541157866915,0.000935844888801159
