"case","fit","edge_scale","profiled_uniform_energy","energy_after_halving","edge_relative_rmse","final_gradient","elapsed"
"paraboloid-disk-rep1-n240-r1","ambient-k239-classical_primary.rds",0.999999999999999,9.77326139473072e-27,2.44331534868268e-27,9.35536366537596e-16,1.62743281562524e-12,0.0180000000000007
"paraboloid-disk-rep1-n240-r1","ambient-k239-classical_uniform.rds",0.999999999999999,9.77326139473072e-27,2.44331534868268e-27,9.35536366537596e-16,1.62743281562524e-12,0.00399999999999068
"paraboloid-disk-rep1-n240-r1","ambient-k239-stress_primary.rds",0.999999999999998,4.47064131511233e-25,1.11766032877808e-25,6.32740787395383e-15,1.15483058240162e-11,0.0190000000000055
"paraboloid-disk-rep1-n240-r1","ambient-k239-stress_uniform.rds",0.999999999999998,4.47064131511233e-25,1.11766032877808e-25,6.32740787395383e-15,1.15483058240162e-11,0.00400000000000489
"paraboloid-disk-rep1-n240-r1","ambient-k32-classical_primary.rds",1.19246519522983,5.86461646908935e-05,1.46615411727234e-05,0.000417991834143444,0.00155194778336085,0.924000000000007
"paraboloid-disk-rep1-n240-r1","ambient-k32-classical_uniform.rds",1.19238547574014,4.68925174095215e-05,1.17231293523804e-05,0.000373790964014401,0.00118367194829867,0.885999999999996
"paraboloid-disk-rep1-n240-r1","ambient-k32-stress_primary.rds",1.11357452800605,7.20404038943551e-05,1.80101009735888e-05,0.000496092296213657,0.00438593982877113,0.933000000000007
"paraboloid-disk-rep1-n240-r1","ambient-k32-stress_uniform.rds",1.11374219000852,5.51448333970183e-05,1.37862083492546e-05,0.000433971735196562,0.00160043083737491,0.908000000000001
"paraboloid-disk-rep1-n240-r1","ambient-k4-classical_primary.rds",1.36625612355778,2.90142961493536e-05,7.2535740373384e-06,0.00185301681515543,0.000943483383436621,0.105000000000004
"paraboloid-disk-rep1-n240-r1","ambient-k4-classical_uniform.rds",1.36600399155876,2.97972141090218e-05,7.44930352725546e-06,0.0018781977866694,0.000545511442213291,0.106999999999999
"paraboloid-disk-rep1-n240-r1","ambient-k4-stress_primary.rds",1.26799353709195,1.61280811939555e-05,4.03202029848887e-06,0.00148860602562942,0.000467281254565023,0.117999999999995
"paraboloid-disk-rep1-n240-r1","ambient-k4-stress_uniform.rds",1.26931798265238,1.53160168739097e-05,3.82900421847742e-06,0.00144913200177363,0.000405326900567704,0.111000000000004
"paraboloid-disk-rep1-n240-r1","geodesic-k239-classical_primary.rds",0.000176025451978549,1.56195032905061e-06,3.90487582262652e-07,0.0592902887865981,0.00324117880872585,11.925
"paraboloid-disk-rep1-n240-r1","geodesic-k239-classical_uniform.rds",4.81000990191127e-05,1.18801235956428e-07,2.97003089891069e-08,0.059839772445979,0.00128769597049109,11.945
"paraboloid-disk-rep1-n240-r1","geodesic-k239-full_classical_primary.rds",0.000176025451978549,1.56195032905061e-06,3.90487582262652e-07,0.0592902887865981,0.00324117880872585,10.094
"paraboloid-disk-rep1-n240-r1","geodesic-k239-full_classical_uniform.rds",4.81000990191127e-05,1.18801235956428e-07,2.97003089891069e-08,0.059839772445979,0.00128769597049109,9.28699999999999
"paraboloid-disk-rep1-n240-r1","geodesic-k239-stress_primary.rds",0.00017046792818972,1.48448823551345e-06,3.71122058878362e-07,0.0596858140447466,0.0041992067397317,11.239
"paraboloid-disk-rep1-n240-r1","geodesic-k239-stress_uniform.rds",7.82453027291992e-06,3.06782400156829e-09,7.66956000392072e-10,0.0591129141333371,0.000114770137376745,10.778
"paraboloid-disk-rep1-n240-r1","geodesic-k32-classical_primary.rds",1.18466049897864,0.00261395672267185,0.000653489180667961,0.002795815734417,0.00188040077870318,1.166
"paraboloid-disk-rep1-n240-r1","geodesic-k32-classical_uniform.rds",1.18217210277804,0.0025844270784888,0.0006461067696222,0.00278583051201239,0.00068583660538756,1.122
"paraboloid-disk-rep1-n240-r1","geodesic-k32-full_classical_primary.rds",1.18027974523194,0.00259145090112026,0.000647862725280066,0.00279408615958567,0.00451670124111512,1.237
"paraboloid-disk-rep1-n240-r1","geodesic-k32-full_classical_uniform.rds",1.17786410932876,0.00256366076714892,0.00064091519178723,0.0027847636788566,0.002916927124172,1.154
"paraboloid-disk-rep1-n240-r1","geodesic-k32-stress_primary.rds",1.10702595176425,0.00230668344822746,0.000576670862056865,0.00281053794764923,0.000829132500438983,1.144
"paraboloid-disk-rep1-n240-r1","geodesic-k32-stress_uniform.rds",1.10511171103304,0.0022737199389214,0.000568429984730349,0.00279521719853394,0.0045571841986426,1.257
"paraboloid-disk-rep1-n240-r1","geodesic-k4-classical_primary.rds",1.36653871294633,3.20189874053304e-05,8.0047468513326e-06,0.00194401792542997,0.00124892691768334,0.122
"paraboloid-disk-rep1-n240-r1","geodesic-k4-classical_uniform.rds",1.36637771375531,3.23228506561824e-05,8.0807126640456e-06,0.00195345074779669,0.000643898101868753,0.122
"paraboloid-disk-rep1-n240-r1","geodesic-k4-full_classical_primary.rds",1.20669905238161,1.30888164817913e-05,3.27220412044782e-06,0.00140756877970629,0.000433983902882616,0.119
"paraboloid-disk-rep1-n240-r1","geodesic-k4-full_classical_uniform.rds",1.20778766246388,1.12935669937639e-05,2.82339174844097e-06,0.00130630137854086,0.000577380923768376,0.117000000000001
"paraboloid-disk-rep1-n240-r1","geodesic-k4-stress_primary.rds",1.26825546146405,1.80416956643526e-05,4.51042391608814e-06,0.00157235404790103,0.000510296908832814,0.118
"paraboloid-disk-rep1-n240-r1","geodesic-k4-stress_uniform.rds",1.26957403098863,1.71509199206957e-05,4.28772998017391e-06,0.00153145446054427,0.000649443942142328,0.148
"paraboloid-disk-rep1-n240-r64","ambient-k239-classical_primary.rds",1,1.50641487059569e-26,3.76603717648922e-27,1.02540236589252e-15,2.1307692622785e-12,0.0180000000000007
"paraboloid-disk-rep1-n240-r64","ambient-k239-classical_uniform.rds",1,1.50641487059569e-26,3.76603717648922e-27,1.02540236589252e-15,2.1307692622785e-12,0.00399999999999068
"paraboloid-disk-rep1-n240-r64","ambient-k239-stress_primary.rds",1,1.08649190710825e-24,2.71622976777063e-25,8.70833777559863e-15,2.23977800733378e-11,0.0190000000000055
"paraboloid-disk-rep1-n240-r64","ambient-k239-stress_uniform.rds",1,1.08649190710825e-24,2.71622976777063e-25,8.70833777559863e-15,2.23977800733378e-11,0.00500000000000966
"paraboloid-disk-rep1-n240-r64","ambient-k32-classical_primary.rds",1.00185174157986,3.36208199098567e-06,8.40520497746416e-07,0.000339237501299761,0.000553145133354217,0.994
"paraboloid-disk-rep1-n240-r64","ambient-k32-classical_uniform.rds",1.00184687207996,3.40865788921536e-06,8.52164472303839e-07,0.000341580857213726,0.000468583570261514,1.01000000000001
"paraboloid-disk-rep1-n240-r64","ambient-k32-stress_primary.rds",1.00178073372897,3.32695821686875e-06,8.31739554217187e-07,0.00033748475636064,0.000382073249736409,0.995999999999995
"paraboloid-disk-rep1-n240-r64","ambient-k32-stress_uniform.rds",1.00178001127142,3.34040950805873e-06,8.35102377014684e-07,0.000338166557705815,0.00029179672084023,1.005
"paraboloid-disk-rep1-n240-r64","ambient-k4-classical_primary.rds",1.19176339013666,1.08083371919331e-05,2.70208429798329e-06,0.00439540815240637,0.000399491931072816,0.108999999999995
"paraboloid-disk-rep1-n240-r64","ambient-k4-classical_uniform.rds",1.18300805771554,2.10244130364743e-05,5.25610325911856e-06,0.00617566947432594,0.00028533447112761,0.103999999999999
"paraboloid-disk-rep1-n240-r64","ambient-k4-stress_primary.rds",1.1526575878045,1.80041750399132e-06,4.5010437599783e-07,0.00185479581254641,0.000240598396564763,0.116
"paraboloid-disk-rep1-n240-r64","ambient-k4-stress_uniform.rds",1.15731809638344,8.76901321305374e-07,2.19225330326344e-07,0.00128923600346573,0.00016067528536206,0.105000000000004
"paraboloid-disk-rep1-n240-r64","geodesic-k239-classical_primary.rds",0.992210311553188,0.0267907619432835,0.00669769048582089,0.00137757172714209,0.0148325597926751,12.366
"paraboloid-disk-rep1-n240-r64","geodesic-k239-classical_uniform.rds",0.99628837615914,0.0270111541140227,0.00675278852850568,0.00137756446491647,0.00914338845543194,12.282
"paraboloid-disk-rep1-n240-r64","geodesic-k239-full_classical_primary.rds",0.992210311553188,0.0267907619432835,0.00669769048582089,0.00137757172714209,0.0148325597926751,10.337
"paraboloid-disk-rep1-n240-r64","geodesic-k239-full_classical_uniform.rds",0.99628837615914,0.0270111541140227,0.00675278852850568,0.00137756446491647,0.00914338845543194,9.571
"paraboloid-disk-rep1-n240-r64","geodesic-k239-stress_primary.rds",0.99226497657928,0.026793520386289,0.00669838009657226,0.00137756674848217,0.0112849198406438,11.797
"paraboloid-disk-rep1-n240-r64","geodesic-k239-stress_uniform.rds",0.995944503952269,0.0269924559709642,0.00674811399274105,0.00137756305166012,0.00758248997880053,10.821
"paraboloid-disk-rep1-n240-r64","geodesic-k32-classical_primary.rds",0.988108723823942,0.0195412427483019,0.00488531068707548,0.0254307928868649,0.013225480924711,1.268
"paraboloid-disk-rep1-n240-r64","geodesic-k32-classical_uniform.rds",0.989472031121521,0.0195950215301027,0.00489875538252566,0.0254306753935994,0.00657490547580448,1.298
"paraboloid-disk-rep1-n240-r64","geodesic-k32-full_classical_primary.rds",0.986836045882264,0.0194810744964684,0.00487026862411711,0.0254243579158368,0.00463597842098484,1.218
"paraboloid-disk-rep1-n240-r64","geodesic-k32-full_classical_uniform.rds",0.988354797587607,0.0195424567263446,0.00488561418158614,0.0254252510243466,0.00934785605680456,1.324
"paraboloid-disk-rep1-n240-r64","geodesic-k32-stress_primary.rds",0.988038033310448,0.0195380857801716,0.00488452144504289,0.0254305579126961,0.00836219210928514,1.337
"paraboloid-disk-rep1-n240-r64","geodesic-k32-stress_uniform.rds",0.98945359950735,0.0195943216735762,0.00489858041839404,0.0254306949640898,0.00455881150074986,1.296
"paraboloid-disk-rep1-n240-r64","geodesic-k4-classical_primary.rds",1.18550206575142,2.519610599685e-05,6.29902649921249e-06,0.00643855645194646,0.000370254984388783,0.117999999999999
"paraboloid-disk-rep1-n240-r64","geodesic-k4-classical_uniform.rds",1.1699466995839,2.02685072310822e-05,5.06712680777054e-06,0.00585152298204125,0.00043528387133864,0.107000000000001
"paraboloid-disk-rep1-n240-r64","geodesic-k4-full_classical_primary.rds",1.08488999301591,5.10316015923469e-06,1.27579003980867e-06,0.00316634334074734,0.000151289347444297,0.140000000000001
"paraboloid-disk-rep1-n240-r64","geodesic-k4-full_classical_uniform.rds",1.08473557222662,4.98880141729805e-06,1.24720035432451e-06,0.00313111007496103,0.000177986680664832,0.107000000000001
"paraboloid-disk-rep1-n240-r64","geodesic-k4-stress_primary.rds",1.17778258941663,1.04401072819132e-05,2.61002682047831e-06,0.00417168454297104,0.000335925633247394,0.134
"paraboloid-disk-rep1-n240-r64","geodesic-k4-stress_uniform.rds",1.17819655407727,7.88462774827652e-06,1.97115693706913e-06,0.00362407317773884,0.000247386661770106,0.111000000000001
"paraboloid-disk-rep1-n240-r8","ambient-k239-classical_primary.rds",0.999999999999999,2.94204799056368e-27,7.3551199764092e-28,4.64704052039233e-16,9.26597370315583e-13,0.0189999999999912
"paraboloid-disk-rep1-n240-r8","ambient-k239-classical_uniform.rds",0.999999999999999,2.94204799056368e-27,7.3551199764092e-28,4.64704052039233e-16,9.26597370315583e-13,0.00300000000000011
"paraboloid-disk-rep1-n240-r8","ambient-k239-stress_primary.rds",1,8.24545812497201e-25,2.061364531243e-25,7.77963064275823e-15,1.78878577270128e-11,0.0170000000000101
"paraboloid-disk-rep1-n240-r8","ambient-k239-stress_uniform.rds",1,8.24545812497201e-25,2.061364531243e-25,7.77963064275823e-15,1.78878577270128e-11,0.00400000000000489
"paraboloid-disk-rep1-n240-r8","ambient-k32-classical_primary.rds",1.03733388271142,9.9963944095684e-10,2.4990986023921e-10,2.56140053058915e-06,4.28487724427464e-05,0.915999999999997
"paraboloid-disk-rep1-n240-r8","ambient-k32-classical_uniform.rds",1.03727802470868,5.19141398456559e-12,1.2978534961414e-12,1.84595887485716e-07,3.07085257303641e-06,0.863
"paraboloid-disk-rep1-n240-r8","ambient-k32-stress_primary.rds",1.02517016273116,7.0054706685854e-10,1.75136766714635e-10,2.16968691136623e-06,3.5565131228093e-05,0.912999999999997
"paraboloid-disk-rep1-n240-r8","ambient-k32-stress_uniform.rds",1.02515370301646,3.50905411123655e-12,8.77263527809138e-13,1.53560817383761e-07,2.63186221109067e-06,0.914999999999992
