"case","surface","sampling","replicate","n","radius","regime","k","method","path_rel","edge_rel","raw_stress","raw_target_rmse","stress1","graph_reference","path_reference","chord_reference","procrustes","edge_scale","sigma1","sigma2","sigma3","sigma2_sigma1","sigma3_sigma2","sigma3_sigma1","max_edge_relative","package_score_difference","independent_path_difference"
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"classical_perturbed",1.85225186399817e-05,1.34515068415819e-05,1439.18910001811,0.000131752006267062,0.000115488671798239,0.00329138863432746,0.00329137659353762,0.00330171047750865,0.000471525513264292,1.00013388884179,18574.6357661203,522.449296847095,457.47975898317,0.0281270278149966,0.875644319446869,0.0246292721291259,0.000679013006880336,7.68767102928003e-18,1.38777878078145e-17
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"classical_random",0.00424324179025634,0.00582814999657728,51622265808.5485,0.789072372739477,0.0339073573951322,0.00329138863432746,0.00580161807606654,0.0611371847618277,0.238095862030655,0.222478901801913,3812.42299426428,918.761288541644,114.944854727599,0.240991435085746,0.125108508772776,0.0301500790705889,0.699387272684468,7.28583859910259e-17,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"classical_original",6.8452041640905e-17,1.25929775492336e-16,1587.70541361272,0.00013838316824404,0.000116301847732043,0.00329138863432746,0.00329138863432323,0.00330193279166617,8.86882203722053e-15,1,18572.0527823238,522.399574605952,457.892316150689,0.028128262434358,0.876517398575753,0.0246549114154196,3.8968828164343e-14,0,1.11022302462516e-16
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"classical_extended",1.01638957805807e-05,7.27914048113281e-06,1642.34783208484,0.0001407443200955,0.000115649312350215,0.00329138863432746,0.00329136776372859,0.00330180145807117,0.000262623821687024,1.00015277124819,18574.9426300762,522.467152680607,457.688780775502,0.0281275244336226,0.876014460291429,0.0246401181360539,0.000357021939868862,9.8086415292048e-19,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"classical_fixed_perturbed",1.85617278066714e-05,1.34823276405774e-05,1517.29996353294,0.000135280135728265,0.000115488310554181,0.00329138863432746,0.00329137742073639,0.00330171077638673,0.000472436728647867,1.00000000800296,18572.149535255,522.379299002746,457.417531547081,0.0281270241773106,0.875642531050367,0.0246292186415351,0.00068075381291155,4.67901000063276e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"classical_fixed_random",0.00593071883193261,0.00874791927086406,1095653762.21394,0.114956881463596,0.0663508681134831,0.00329138863432746,0.00716978072239522,0.114924447653797,0.331423542627285,0.999809182806487,15858.5133461639,5523.55909674214,509.977428084103,0.348302452832267,0.092327685673698,0.0321579593844756,9.64054380197995,4.16333634234434e-17,1.11022302462516e-16
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"classical_fixed_original",6.8452041640905e-17,1.25929775492336e-16,1587.70541361272,0.00013838316824404,0.000116301847732043,0.00329138863432746,0.00329138863432323,0.00330193279166617,8.86882203722053e-15,1,18572.0527823238,522.399574605952,457.892316150689,0.028128262434358,0.876517398575753,0.0246549114154196,3.8968828164343e-14,0,1.11022302462516e-16
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"classical_fixed_extended",1.01751916153376e-05,7.2868671801518e-06,1545.16289429208,0.000136516593199952,0.000115648794253589,0.00329138863432746,0.00329136769491152,0.00330180125264503,0.00026291089734125,1.00000000321702,18572.1054680035,522.387325296797,457.618571166667,0.0281275230854563,0.876013924929494,0.0246401018966355,0.000357444387774519,5.50232602536394e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"stress_perturbed",1.84645342948003e-05,1.33934595169712e-05,1134.29300299211,0.000116966348777702,0.000115489434313498,0.00329138863432746,0.00329137575710376,0.00330171028004578,0.000469643282923987,1.00005195793099,18573.113836507,522.406570181721,457.443130127377,0.0281270321595126,0.875645821162346,0.0246293181721761,0.000676140930137792,2.09047731382361e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"stress_random",0.00424324179025634,0.00582814999657728,51622265808.5485,0.789072372739477,0.0339073573951322,0.00329138863432746,0.00580161807606654,0.0611371847618277,0.238095862030655,0.222478901801913,3812.42299426428,918.761288541644,114.944854727599,0.240991435085746,0.125108508772776,0.0301500790705889,0.699387272684468,7.28583859910259e-17,0
