"case","surface","sampling","replicate","n","radius","regime","k","method","stage","mix","iterations","last_energy","gradient_norm","accepted","elapsed"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_primary",1,0,200,0.00184714967611804,0.062731865856573,200,5.215
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_primary",2,0.25,200,0.000105840893532625,0.0204842346882548,200,5.215
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_primary",3,0.5,200,4.30383218618021e-06,0.005173647568254,200,5.215
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_primary",4,0.75,200,1.23282043454575e-07,0.000553177343231139,200,5.215
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_primary",5,1,200,2.67839459567386e-09,0.000139587060651241,200,5.215
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_uniform",1,1,1000,1.08942651015204e-10,1.6364848353385e-05,1000,5.148
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_fixed_primary",1,0,200,0.0018602745748938,0.0614107474467289,200,1.08399999999999
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_fixed_primary",2,0.25,200,0.00010845358267046,0.0240472245849607,200,1.08399999999999
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_fixed_primary",3,0.5,200,4.52911599800735e-06,0.0060736998310465,200,1.08399999999999
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_fixed_primary",4,0.75,200,1.3213115760834e-07,0.000510338868815343,200,1.08399999999999
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_fixed_primary",5,1,200,2.89648077499418e-09,7.21043091102226e-05,200,1.08399999999999
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_fixed_uniform",1,1,1000,1.2215710114609e-10,2.15707925051245e-05,1000,1.065
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_primary",1,0,200,0.00178795446965863,0.0729869936952715,200,5.226
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_primary",2,0.25,200,0.000101298748850384,0.0252322058555034,200,5.226
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_primary",3,0.5,200,4.04241078830589e-06,0.00272202438946899,200,5.226
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_primary",4,0.75,200,1.16771845572462e-07,0.00065775311026616,200,5.226
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_primary",5,1,200,2.50430797765829e-09,7.17754142075574e-05,200,5.226
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_uniform",1,1,1000,1.08029718395077e-10,2.36747203152742e-05,1000,5.20699999999999
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_fixed_primary",1,0,200,0.00187372234734415,0.0790678569341553,200,1.111
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_fixed_primary",2,0.25,200,0.000107007189606552,0.0139654856358917,200,1.111
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_fixed_primary",3,0.5,200,4.40979788483772e-06,0.00333414791904462,200,1.111
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_fixed_primary",4,0.75,200,1.30544289835899e-07,0.000659542617504261,200,1.111
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_fixed_primary",5,1,200,2.85780483909518e-09,9.01056056910813e-05,200,1.111
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_fixed_uniform",1,1,1000,1.17367697815268e-10,1.9075425286512e-05,1000,1.17100000000001
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_primary",1,0,200,0.00405132770546403,0.0237248595961973,200,0.432000000000002
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_primary",2,0.25,200,0.000929599162214232,0.0197350392438626,200,0.432000000000002
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_primary",3,0.5,200,0.000364948771226704,0.00388441831440394,200,0.432000000000002
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_primary",4,0.75,200,0.000245082610867274,0.00411012330071381,200,0.432000000000002
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_primary",5,1,200,0.000214979752768263,0.000663890508191914,200,0.432000000000002
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_uniform",1,1,1000,1.06677156320842e-05,0.00126397687703492,1000,0.418999999999997
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_fixed_primary",1,0,200,0.00457690067714927,0.0381228747229352,200,0.125999999999991
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_fixed_primary",2,0.25,200,0.00111546490896375,0.0155946613808556,200,0.125999999999991
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_fixed_primary",3,0.5,200,0.000545412081165903,0.00937161181554315,200,0.125999999999991
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_fixed_primary",4,0.75,200,0.000393229564752822,0.00423017660366162,200,0.125999999999991
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_fixed_primary",5,1,200,0.00030488351293461,0.00431051438421396,200,0.125999999999991
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_fixed_uniform",1,1,1000,0.000142751080629469,0.000565668325298303,1000,0.121000000000009
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_primary",1,0,200,0.00403015699168109,0.0327748800049928,200,0.430999999999997
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_primary",2,0.25,200,0.00121234267345801,0.0144625550439219,200,0.430999999999997
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_primary",3,0.5,200,0.000609297801534854,0.00334809297827165,200,0.430999999999997
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_primary",4,0.75,200,0.000466961960172432,0.0053076203653969,200,0.430999999999997
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_primary",5,1,200,0.000442806901683189,0.00117537653658201,200,0.430999999999997
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_uniform",1,1,1000,0.000179850853608788,0.000967159778115652,1000,0.416999999999987
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_fixed_primary",1,0,200,0.00454907303438662,0.0365305935004423,200,0.134
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_fixed_primary",2,0.25,200,0.0011304585134231,0.00748865854069895,200,0.134
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_fixed_primary",3,0.5,200,0.000531216243567269,0.00855465679887708,200,0.134
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_fixed_primary",4,0.75,200,0.000390376232982171,0.00233203192755575,200,0.134
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_fixed_primary",5,1,200,0.000358866943089786,0.000941008803669833,200,0.134
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_fixed_uniform",1,1,1000,0.000145216097063886,0.00116883172424525,1000,0.194000000000003
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_primary",1,0,0,8.25015861069395e-27,1.49566104644745e-12,0,0.0180000000000007
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_primary",2,0.25,0,8.00915309075352e-27,1.4457085929712e-12,0,0.0180000000000007
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_primary",3,0.5,0,9.616936970204e-27,1.6822212816254e-12,0,0.0180000000000007
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_primary",4,0.75,0,8.9235607159672e-27,1.59168656972657e-12,0,0.0180000000000007
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_primary",5,1,0,9.14802808439162e-27,1.62743281562524e-12,0,0.0180000000000007
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_uniform",1,1,0,9.14802808439162e-27,1.62743281562524e-12,0,0.00400000000000489
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_fixed_primary",1,0,0,2.13125759923465e-26,2.89236798082849e-12,0,0.0150000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_fixed_primary",2,0.25,0,2.1874406464273e-26,2.93687677746144e-12,0,0.0150000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_fixed_primary",3,0.5,0,2.24362369361996e-26,2.98558833254574e-12,0,0.0150000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_fixed_primary",4,0.75,0,2.29980674081263e-26,3.03830051062183e-12,0,0.0150000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_fixed_primary",5,1,0,2.35598978800529e-26,3.09480889720627e-12,0,0.0150000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_fixed_uniform",1,1,0,2.35598978800529e-26,3.09480889720627e-12,0,0.00400000000000489
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_primary",1,0,0,4.30126486603656e-25,1.11251786112448e-11,0,0.019999999999996
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_primary",2,0.25,0,4.4553999554308e-25,1.14540151692894e-11,0,0.019999999999996
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_primary",3,0.5,0,4.38028290325967e-25,1.13305622023942e-11,0,0.019999999999996
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_primary",4,0.75,0,4.40939763545729e-25,1.14271001312472e-11,0,0.019999999999996
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_primary",5,1,0,4.44942883399591e-25,1.15483058240162e-11,0,0.019999999999996
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_uniform",1,1,0,4.44942883399591e-25,1.15483058240162e-11,0,0.00300000000000011
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_fixed_primary",1,0,0,4.51224151211637e-25,1.15492199618319e-11,0,0.0150000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_fixed_primary",2,0.25,0,4.5518568874922e-25,1.16498365575918e-11,0,0.0150000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_fixed_primary",3,0.5,0,4.59147226286791e-25,1.17586393254649e-11,0,0.0150000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_fixed_primary",4,0.75,0,4.63108763824373e-25,1.18754032617875e-11,0,0.0150000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_fixed_primary",5,1,0,4.67070301361949e-25,1.19998959724539e-11,0,0.0150000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress_fixed_uniform",1,1,0,4.67070301361949e-25,1.19998959724539e-11,0,0.00300000000000011
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_primary",1,0,200,0.000193625011605185,0.0114170349591358,200,0.900000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_primary",2,0.25,200,9.4127417340851e-05,0.00667129070191282,200,0.900000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_primary",3,0.5,200,6.70480181681581e-05,0.000831954026608451,200,0.900000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_primary",4,0.75,200,6.14066218216005e-05,0.00152633440359936,200,0.900000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_primary",5,1,200,5.86461646908937e-05,0.00155194778336085,200,0.900000000000006
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_uniform",1,1,1000,4.68925174095212e-05,0.00118367194829867,1000,0.867999999999995
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_fixed_primary",1,0,200,0.000245624261771055,0.0100964198948078,200,0.221000000000004
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_fixed_primary",2,0.25,200,0.000134348360214089,0.00673641281013905,200,0.221000000000004
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_fixed_primary",3,0.5,200,9.62581112971068e-05,0.00330298082779694,200,0.221000000000004
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_fixed_primary",4,0.75,200,8.21386067895123e-05,0.00291799021864585,200,0.221000000000004
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_fixed_primary",5,1,200,7.28004970749898e-05,0.00213718480539858,200,0.221000000000004
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"classical_fixed_uniform",1,1,1000,5.91992554559217e-05,0.00155663165092608,1000,0.215999999999994
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_primary",1,0,200,0.00025000964414835,0.00979094762530957,200,0.910000000000011
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_primary",2,0.25,200,0.000138820871724947,0.00206207900971915,200,0.910000000000011
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_primary",3,0.5,200,9.96339143691173e-05,0.00430610238462011,200,0.910000000000011
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_primary",4,0.75,200,8.29946903104252e-05,0.00350092592193639,200,0.910000000000011
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_primary",5,1,200,7.2040403894355e-05,0.00438593982877113,200,0.910000000000011
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_uniform",1,1,1000,5.51448333970183e-05,0.00160043083737491,1000,0.873000000000005
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_fixed_primary",1,0,200,0.000266468027274785,0.00479754265440456,200,0.224999999999994
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_fixed_primary",2,0.25,200,0.000155422436680045,0.00797683925252984,200,0.224999999999994
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_fixed_primary",3,0.5,200,0.00011029133633517,0.00123579739614448,200,0.224999999999994
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_fixed_primary",4,0.75,200,9.04340485582944e-05,0.000798880941805752,200,0.224999999999994
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_fixed_primary",5,1,200,7.78669621850436e-05,0.00359067375254073,200,0.224999999999994
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,"stress_fixed_uniform",1,1,1000,5.99778975829619e-05,0.00138126886939298,1000,0.222999999999999
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_primary",1,0,200,0.000193125906974931,0.00439182250496648,200,0.106000000000009
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_primary",2,0.25,200,9.67703522511494e-05,0.00181616759085675,200,0.106000000000009
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_primary",3,0.5,200,6.00660131390037e-05,0.0010568591483071,200,0.106000000000009
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_primary",4,0.75,200,4.04740812400784e-05,0.000720494658855978,200,0.106000000000009
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_primary",5,1,200,2.90142961493536e-05,0.000943483383436621,200,0.106000000000009
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_uniform",1,1,1000,2.9797214109022e-05,0.000545511442213291,1000,0.102999999999994
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_fixed_primary",1,0,200,0.00188826899333119,0.0264615613080832,200,0.0519999999999925
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_fixed_primary",2,0.25,200,0.000456476755839296,0.00657370035242723,200,0.0519999999999925
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_fixed_primary",3,0.5,200,0.000176663250172356,0.00450582935571876,200,0.0519999999999925
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_fixed_primary",4,0.75,200,8.84721003489467e-05,0.00153231595482881,200,0.0519999999999925
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_fixed_primary",5,1,200,5.1904386080522e-05,0.000983831764538457,200,0.0519999999999925
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"classical_fixed_uniform",1,1,1000,5.75107191093349e-05,0.00141222565637696,1000,0.0510000000000019
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"stress_primary",1,0,200,0.00012288340486986,0.00602204079678756,200,0.116
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"stress_primary",2,0.25,200,5.8305485544613e-05,0.00295341427207196,200,0.116
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"stress_primary",3,0.5,200,3.51138937464215e-05,0.00156580452666316,200,0.116
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"stress_primary",4,0.75,200,2.31118528817042e-05,0.0011078332403988,200,0.116
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,"stress_primary",5,1,200,1.61280811939555e-05,0.000467281254565023,200,0.116
