surface,sampling,regime,radius,method,min,median,max
paraboloid,disk,ambient,1,classical,0.999999999999998,1.17692772367406,1.28980251998147
paraboloid,disk,ambient,1,classical_fixed_primary,0.999985521123275,1.00000001338089,1.00098991347511
paraboloid,disk,ambient,1,classical_fixed_uniform,0.999983859345814,1.00000059314468,1.00112044269243
paraboloid,disk,ambient,1,classical_primary,0.999999999999998,1.19493924677724,1.51119317235026
paraboloid,disk,ambient,1,classical_uniform,0.999999999999998,1.19492371280051,1.48728392941805
paraboloid,disk,ambient,1,original,1.0,1.0,1.0
paraboloid,disk,ambient,1,stress,0.999999999999998,1.07410802915507,1.19496567158291
paraboloid,disk,ambient,1,stress_fixed_primary,0.999976304718586,1.00000001126287,1.0008178873392
paraboloid,disk,ambient,1,stress_fixed_uniform,0.999983875162,1.00000045536956,1.00103407600248
paraboloid,disk,ambient,1,stress_primary,0.999999999999998,1.1143677078746,1.33570175475848
paraboloid,disk,ambient,1,stress_uniform,0.999999999999998,1.1144881436593,1.33650953926136
paraboloid,disk,ambient,2,classical,0.999999999999998,1.20919797191059,1.30834468077137
paraboloid,disk,ambient,2,classical_fixed_primary,0.999950666439002,1.000000000001,1.00134754244227
paraboloid,disk,ambient,2,classical_fixed_uniform,0.999973827987758,1.00000053037848,1.00113925459557
paraboloid,disk,ambient,2,classical_primary,0.999999999999998,1.20494433602087,1.49433615730913
paraboloid,disk,ambient,2,classical_uniform,0.999999999999998,1.20495615334732,1.49236822835463
paraboloid,disk,ambient,2,original,1.0,1.0,1.0
paraboloid,disk,ambient,2,stress,0.999999999999999,1.12075311397029,1.2430973692832
paraboloid,disk,ambient,2,stress_fixed_primary,0.999964707049402,1.0000000899771,1.00105211589546
paraboloid,disk,ambient,2,stress_fixed_uniform,0.999978218883773,1.00000048489777,1.00082117142824
paraboloid,disk,ambient,2,stress_primary,0.999999999999999,1.12213301346991,1.37444852121083
paraboloid,disk,ambient,2,stress_uniform,0.999999999999999,1.12236862439266,1.37360959036899
paraboloid,disk,ambient,4,classical,0.999999999999999,1.21408177389103,1.33699598959052
paraboloid,disk,ambient,4,classical_fixed_primary,0.999999261425231,1.0000000000018,1.00126743249925
paraboloid,disk,ambient,4,classical_fixed_uniform,0.999007596366452,1.00000000012156,1.00127249917025
paraboloid,disk,ambient,4,classical_primary,0.999999999999999,1.1036384525075,1.54219338900991
paraboloid,disk,ambient,4,classical_uniform,0.999999999999999,1.10356590174342,1.55760236073975
paraboloid,disk,ambient,4,original,1.0,1.0,1.0
paraboloid,disk,ambient,4,stress,0.999999999999999,1.13008447538085,1.2666608612023
paraboloid,disk,ambient,4,stress_fixed_primary,0.999991640187863,1.00000000000128,1.00106011196693
paraboloid,disk,ambient,4,stress_fixed_uniform,0.999999165095923,1.00000000010929,1.00117997186113
paraboloid,disk,ambient,4,stress_primary,0.999999999999999,1.06350299309012,1.41434714192487
paraboloid,disk,ambient,4,stress_uniform,0.999999999999999,1.06348130744137,1.41565076119565
paraboloid,disk,ambient,8,classical,0.999999999999999,1.20060398498195,1.27673206506225
paraboloid,disk,ambient,8,classical_fixed_primary,0.999850364248207,1.00000000088928,1.00156413565995
paraboloid,disk,ambient,8,classical_fixed_uniform,0.999692714938786,1.00000000087436,1.00160338302365
paraboloid,disk,ambient,8,classical_primary,0.999999999999999,1.03733388271142,1.47997384350969
paraboloid,disk,ambient,8,classical_uniform,0.999999999999999,1.03727802470868,1.48199449986149
paraboloid,disk,ambient,8,original,1.0,1.0,1.0
paraboloid,disk,ambient,8,stress,0.999999999999999,1.10799756967692,1.23509278691452
paraboloid,disk,ambient,8,stress_fixed_primary,0.999993271116548,1.00000000000087,1.00164798563998
paraboloid,disk,ambient,8,stress_fixed_uniform,0.999996584461546,1.00000000303399,1.00125247685556
paraboloid,disk,ambient,8,stress_primary,0.999999999999999,1.02550617846346,1.37721978697055
paraboloid,disk,ambient,8,stress_uniform,0.999999999999999,1.02550158851414,1.37917250416342
paraboloid,disk,ambient,16,classical,0.999999999999999,1.07844941054548,1.2472029434637
paraboloid,disk,ambient,16,classical_fixed_primary,0.999997471127277,1.00000123635544,1.00355620886575
paraboloid,disk,ambient,16,classical_fixed_uniform,0.999999999999999,1.00000124035609,1.00386774281897
paraboloid,disk,ambient,16,classical_primary,0.999999999999999,1.0166754267223,1.36051848894848
paraboloid,disk,ambient,16,classical_uniform,0.999999999999999,1.01667135180897,1.36555513498156
paraboloid,disk,ambient,16,original,1.0,1.0,1.0
paraboloid,disk,ambient,16,stress,0.999999999999998,1.06714649233847,1.24498819317897
paraboloid,disk,ambient,16,stress_fixed_primary,0.999997299866463,1.00000084004289,1.00457416392631
paraboloid,disk,ambient,16,stress_fixed_uniform,0.9999965122127,1.00000087120828,1.00401479528189
paraboloid,disk,ambient,16,stress_primary,0.999999999999998,1.01461957035055,1.33550361921167
paraboloid,disk,ambient,16,stress_uniform,0.999999999999998,1.01462386662179,1.33013738104829
paraboloid,disk,ambient,32,classical,0.982894460102938,1.06952685322615,1.17594382914635
paraboloid,disk,ambient,32,classical_fixed_primary,0.999390462228734,1.00000023437201,1.00469712912712
paraboloid,disk,ambient,32,classical_fixed_uniform,0.99975743907669,1.00000045128438,1.00448012512317
paraboloid,disk,ambient,32,classical_primary,1.0,1.00636374983112,1.22808283562246
paraboloid,disk,ambient,32,classical_uniform,1.0,1.00635062181163,1.23105411498304
paraboloid,disk,ambient,32,original,1.0,1.0,1.0
paraboloid,disk,ambient,32,stress,1.0,1.01878294664342,1.2381507225959
paraboloid,disk,ambient,32,stress_fixed_primary,0.99999929486623,1.00000130571287,1.00517062727715
paraboloid,disk,ambient,32,stress_fixed_uniform,0.999999339032969,1.00000147628452,1.00488605338469
paraboloid,disk,ambient,32,stress_primary,1.0,1.00623218195352,1.24369313867337
paraboloid,disk,ambient,32,stress_uniform,1.0,1.00621631956343,1.23917257516333
paraboloid,disk,ambient,64,classical,0.984259290069851,1.00487897251664,1.25523552289244
paraboloid,disk,ambient,64,classical_fixed_primary,0.999910323218212,1.00000012767163,1.00719735379493
paraboloid,disk,ambient,64,classical_fixed_uniform,0.999885676942977,1.00000022893038,1.00673395989703
paraboloid,disk,ambient,64,classical_primary,0.999999999999999,1.00196488342579,1.19176339013666
paraboloid,disk,ambient,64,classical_uniform,0.999999999999999,1.00196493490545,1.2457727147122
paraboloid,disk,ambient,64,original,1.0,1.0,1.0
paraboloid,disk,ambient,64,stress,1.0,1.00480997385353,1.22372408511504
paraboloid,disk,ambient,64,stress_fixed_primary,0.999941465189137,1.0000000069812,1.00793382452854
