"case","surface","sampling","replicate","n","radius","regime","k","method","path_rel","edge_rel","raw_stress","raw_target_rmse","stress1","graph_reference","path_reference","chord_reference","procrustes","edge_scale","sigma1","sigma2","sigma3","sigma2_sigma1","sigma3_sigma2","sigma3_sigma1","max_edge_relative","package_score_difference","independent_path_difference"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"original",0,1.66372764564203e-16,383.144259954841,0.0997503088639387,0.0728400531927052,0.0528702008717922,0.0528702008717921,0.139174282907433,1.27467978341037e-15,1,8.17214716432574,7.15980189379569,4.52552531897419,0.876122486517461,0.632074097314868,0.553774329802782,4.44089209850063e-16,1.24398929382112e-16,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical",0.0470236938983037,0.0551705900517675,294.256843471792,0.0874170956289184,0.0608121507174666,0.0528702008717922,0.0632798449168084,0.111813212601277,0.119706135965263,1.11049309608761,9.69334726456409,8.43416318789158,3.93711380993001,0.870098115511068,0.466805505445079,0.406166590597955,0.218183112143031,2.35922392732846e-16,1.11022302462516e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress",0.0372821751601669,0.043345198490336,124.532219130016,0.0568687851606696,0.0568687851606695,0.0528702008717922,0.0535386611617219,0.107120133011287,0.115300204846722,1.04250069602587,9.25059925692944,7.84140971572692,3.58657098079146,0.847665053683205,0.457388545021203,0.387712285569481,0.138549436692142,2.98372437868011e-16,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_primary",7.6559487553942e-07,7.25052412853431e-07,322.2047841888,0.0914742968120223,0.0728392454133463,0.0528702008717922,0.0528701389620718,0.139173492943994,9.25592402590829e-06,1.13289474131239,9.25822966419469,8.11126778990595,5.12693280109034,0.87611434195411,0.632075396089196,0.553770319710069,6.05630435690507e-06,4.01038336789389e-18,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_uniform",1.55260987778548e-07,1.4624329354237e-07,321.74355214859,0.0914088012198421,0.0728398883234591,0.0528702008717922,0.0528701878319505,0.139174121420623,1.88729438516313e-06,1.13277770660645,9.25723573896065,8.11045700716358,5.12641193873698,0.876120824387063,0.632074362050013,0.553773511153184,1.24908003285018e-06,2.30970002848487e-18,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_fixed_primary",9.07790714577952e-07,8.54149042829666e-07,383.135772858498,0.0997492040644435,0.0728390854838047,0.0528702008717922,0.0528701238360017,0.139173334076454,1.10391953453564e-05,1.0000000088567,8.17219703553609,7.15976594607678,4.52551366066289,0.876112741156773,0.632075642520502,0.553769523787066,7.28874060029749e-06,5.69322607585137e-18,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"classical_fixed_uniform",1.86058756516005e-07,1.75400363041541e-07,383.14252125243,0.0997500825310433,0.0728398553367962,0.0528702008717922,0.0528701855599141,0.139174089175105,2.2568513599314e-06,1.0000000026764,8.17215736601188,7.15979454659598,4.5255229436434,0.876120493760151,0.632074414173658,0.553773347838983,1.47772588077189e-06,2.39056520516805e-18,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_primary",7.89530709947307e-07,7.44998416540448e-07,206.027689548935,0.0731468929573073,0.0728392121545718,0.0528702008717922,0.0528701309514035,0.139173457000143,9.62289568982629e-06,1.06613009239081,8.71261818899644,7.63324684431303,4.8247878926855,0.876114008295854,0.632075444577047,0.55377015129378,6.49521304418865e-06,2.65110724578755e-18,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_uniform",1.63096704383156e-07,1.5474363376381e-07,206.066783800341,0.0731538325278739,0.0728398796430852,0.0528702008717922,0.0528701861150605,0.139174112281547,1.98480409900331e-06,1.06605721570894,8.71198598013883,7.63275158076602,4.82446668449817,0.876120737357338,0.632074374941728,0.553773467438625,1.35172604753819e-06,4.35711101089652e-18,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_fixed_primary",9.00845978046929e-07,8.48398116339603e-07,383.135836968381,0.099749212409931,0.0728390939650409,0.0528702008717922,0.0528701257582178,0.139173343082505,1.09395955024476e-05,1.00000001126287,8.17219661979947,7.15976626188771,4.52551378757699,0.876112824371008,0.632075632366219,0.553769567488458,7.1845077732613e-06,2.01170324972896e-19,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,"stress_fixed_uniform",1.82512997066618e-07,1.7193104992731e-07,383.142553506757,0.0997500867297052,0.0728398588984798,0.0528702008717922,0.0528701857082436,0.139174092582072,2.21568616934828e-06,1.00000000238153,8.1721571810422,7.15979467792,4.52552298428038,0.876120529660065,0.63207440825595,0.553773365345775,1.45385637861928e-06,1.26237025898453e-18,1.11022302462516e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"original",0,5.39307469871822e-17,960.78271305726,0.148117144764811,0.0784749259215924,0.0188486793993827,0.0188486793993827,0.139174282907433,1.27467978341037e-15,1,8.17214716432574,7.15980189379569,4.52552531897419,0.876122486517461,0.632074097314868,0.553774329802782,2.22044604925031e-16,0,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical",0.0552414682702411,0.0768690752844323,361.144907181327,0.0908099609370026,0.0618790866237074,0.0188486793993827,0.0584628188951538,0.112211497878381,0.138125629778568,1.19051988020111,10.4280406825835,9.07052587342541,3.97156232923586,0.869820721794333,0.43785359136361,0.380854126880136,0.353950523031332,9.29811783123569e-16,5.55111512312578e-17
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress",0.0431360791189067,0.0724036373027154,145.13949320824,0.0575685833658976,0.0575685833658977,0.0188486793993827,0.0519871968252388,0.0915424434681373,0.14213846560899,1.08898468526564,9.94469798364376,8.4212729714685,3.47208222270574,0.846810329013424,0.412298975994395,0.349139031513711,0.266892947717667,2.08166817117217e-16,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_primary",0.0011951934037825,0.00160851383452665,402.764885672233,0.0958999855204925,0.0774095161020963,0.0188486793993827,0.0189101296089037,0.138441855142752,0.0414303877016612,1.20880652842959,10.1236736340965,8.42306227318992,5.39694160196835,0.832016378404485,0.640733907328036,0.533101105096027,0.029901717680173,1.10588621593521e-17,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_uniform",0.00013260345885683,0.000358982433591519,399.488992852267,0.0955091874415031,0.0770214230679162,0.0188486793993827,0.0188547363342708,0.136926407356913,0.0326049231263852,1.20655003219181,10.0829359662831,8.44747009951708,5.43133301634459,0.83779864592665,0.642953801831756,0.538665824568037,0.00410860096575916,6.47810798060089e-18,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_fixed_primary",0.00200729172546016,0.00231553031401187,949.130836907932,0.147216260982257,0.0780491321136849,0.0188486793993827,0.0186992259639468,0.13828762914744,0.0537116314553034,0.99999119199083,8.46213589171854,6.88766203302437,4.4433594401136,0.813938953611579,0.645118680157208,0.525087223482441,0.0373309450587274,9.97465998686664e-18,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"classical_fixed_uniform",0.00113304252582633,0.00158442821226591,942.74403177785,0.146720107751489,0.0776205965731667,0.0188486793993827,0.0188995331403545,0.137792194423333,0.0492356158822415,0.999999890001343,8.43850852666699,6.91935221372993,4.45161714983043,0.819973362812126,0.643357501154107,0.52753601371174,0.0312719165753668,1.49619899803e-17,1.11022302462516e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_primary",0.00226939774225877,0.00246390639499908,269.087229537939,0.07838614112634,0.0777767080480157,0.0188486793993827,0.0186777049992565,0.138543634173074,0.0485921524411604,1.13257195601647,9.54247594147532,7.83907118886893,5.03280315348272,0.821492371261558,0.642015237803815,0.527410620089509,0.0396987399217419,3.46944695195361e-18,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_uniform",0.00115121708350177,0.00157103605692762,265.866603743815,0.0779156387446196,0.0773195033069619,0.0188486793993827,0.0189034760432904,0.13784337433461,0.0439211880760023,1.13201691651953,9.51517279207278,7.86976431987445,5.0427179122688,0.827075292466665,0.640771147305368,0.529965984061788,0.0308236626677802,1.01915004213637e-17,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_fixed_primary",0.00217798752124079,0.00251216580483819,955.105413056069,0.147678881579093,0.0783373765537116,0.0188486793993827,0.0187152231131454,0.138755281310617,0.0557604191170962,1.0000024086764,8.4677311664215,6.87830656628488,4.43328817890477,0.812296284695548,0.644531926017262,0.523550888871487,0.0408594530551059,1.60461921527855e-17,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,"stress_fixed_uniform",0.00112991507647139,0.00159804857851986,942.22642297777,0.146679824258124,0.0776559480743154,0.0188486793993827,0.018903273509343,0.137751520180669,0.0499450675194588,1.00000046583989,8.44284149429274,6.91739950643354,4.44882350704689,0.819321257080288,0.64313525666824,0.526934386966076,0.0317429842497283,7.58941520739853e-18,2.22044604925031e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"original",0,4.90501219221423e-17,7.99882631260056e-29,4.90501219221423e-17,4.90501219221423e-17,0.139174282907433,0.139174282907433,0.139174282907433,1.27467978341037e-15,1,8.17214716432574,7.15980189379569,4.52552531897419,0.876122486517461,0.632074097314868,0.553774329802782,3.33066907387547e-16,0,1.11022302462516e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical",9.34279289980875e-16,9.34072101679857e-16,7.01082425215045e-26,1.45215006327481e-15,9.34072101679857e-16,0.139174282907433,0.139174282907433,0.139174282907433,1.53631001798305e-15,0.999999999999999,8.17214716432573,7.15980189379568,4.52552531897419,0.876122486517461,0.632074097314869,0.553774329802783,7.68274333040608e-14,4.15920163002563e-17,0
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"stress",6.32720699981616e-15,6.32713209712687e-15,1.39045179077314e-24,6.46703074777441e-15,6.32713209712687e-15,0.139174282907433,0.139174282907433,0.139174282907433,8.28793020933213e-15,0.999999999999998,8.17214716432574,7.15980189379567,4.52552531897419,0.876122486517459,0.632074097314869,0.553774329802782,3.15303338993544e-13,1.45368084624914e-17,1.11022302462516e-16
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_primary",9.35489816749589e-16,9.35536366537596e-16,7.01495775282934e-26,1.45257808561366e-15,9.35536366537596e-16,0.139174282907433,0.139174282907433,0.139174282907433,1.48389110932454e-15,0.999999999999999,8.17214716432573,7.15980189379568,4.52552531897419,0.876122486517461,0.632074097314869,0.553774329802783,7.68274333040608e-14,4.18747980507663e-17,0
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_uniform",9.35489816749589e-16,9.35536366537596e-16,7.01495775282934e-26,1.45257808561366e-15,9.35536366537596e-16,0.139174282907433,0.139174282907433,0.139174282907433,1.48389110932454e-15,0.999999999999999,8.17214716432573,7.15980189379568,4.52552531897419,0.876122486517461,0.632074097314869,0.553774329802783,7.68274333040608e-14,4.18747980507663e-17,0
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,"classical_fixed_primary",9.35489816749589e-16,9.35536366537596e-16,7.01495775282934e-26,1.45257808561366e-15,9.35536366537596e-16,0.139174282907433,0.139174282907433,0.139174282907433,1.48389110932454e-15,0.999999999999999,8.17214716432573,7.15980189379568,4.52552531897419,0.876122486517461,0.632074097314869,0.553774329802783,7.68274333040608e-14,4.18747980507663e-17,0
