surface,sampling,regime,method,comparison,k240,k480,path_rel_n240,path_rel_n480,path_rel_difference,graph_reference_n240,graph_reference_n480,graph_reference_difference,path_reference_n240,path_reference_n480,path_reference_difference,procrustes_n240,procrustes_n480,procrustes_difference,sigma2_sigma1_n240,sigma2_sigma1_n480,sigma2_sigma1_difference,sigma3_sigma2_n240,sigma3_sigma2_n480,sigma3_sigma2_difference
paraboloid,disk,geodesic,classical,fixed k=8,8,8,0.01814665374286,0.0238151027170782,0.005668448974218199,0.0586365970913563,0.0518398397748048,-0.006796757316551501,0.0744200123779925,0.0533530186328432,-0.02106699374514931,0.0720456412778753,0.0748695157499254,0.0028238744720500975,0.0588070284876791,0.0568101012283358,-0.0019969272593432993,0.70161798307802,0.676399006067918,-0.025218977010102006
paraboloid,disk,geodesic,stress,fixed k=8,8,8,0.0118223555754791,0.0239873365853171,0.012164981009837999,0.0586365970913563,0.0518398397748048,-0.006796757316551501,0.0223931705973647,0.047513612450099,0.025120441852734304,0.0824360483426374,0.0827838013513253,0.0003477530086879038,0.0681606667199313,0.0635259549854818,-0.004634711734449501,0.770130626634105,0.8552887296217,0.08515810298759496
paraboloid,disk,geodesic,stress_primary,fixed k=8,8,8,0.0048887391317293,0.0042685236262765,-0.0006202155054527998,0.0586365970913563,0.0518398397748048,-0.006796757316551501,0.0583619648814198,0.0565471624566058,-0.0018148024248140007,0.0773046769721128,0.080223896609512,0.0029192196373992035,0.0666837669872162,0.0606861374348639,-0.0059976295523523,0.720903834862288,0.809642777343184,0.08873894248089598
paraboloid,disk,geodesic,stress_fixed_primary,fixed k=8,8,8,0.0055914605617849,0.0076505012929343,0.0020590407311493995,0.0586365970913563,0.0518398397748048,-0.006796757316551501,0.0777119994985604,0.0923306009170655,0.0146186014185051,0.072280317213339,0.0744472834137737,0.002166966200434703,0.0625937526417582,0.0571151974953632,-0.005478555146395003,0.6955571871974,0.764240819977414,0.06868363278001399
paraboloid,disk,geodesic,classical,fixed k/n from k=8,8,16,0.01814665374286,0.0142831096848729,-0.0038635440579871012,0.0586365970913563,0.019364553702478,-0.039272043388878304,0.0744200123779925,0.0353224174351667,-0.0390975949428258,0.0720456412778753,0.0482352407012644,-0.0238104005766109,0.0588070284876791,0.048454221725993,-0.010352806761686102,0.70161798307802,0.791752607499066,0.09013462442104592
paraboloid,disk,geodesic,stress,fixed k/n from k=8,8,16,0.0118223555754791,0.0085469030731623,-0.003275452502316799,0.0586365970913563,0.019364553702478,-0.039272043388878304,0.0223931705973647,0.0322316348762509,0.0098384642788862,0.0824360483426374,0.045997992917051,-0.0364380554255864,0.0681606667199313,0.0487444563685905,-0.019416210351340807,0.770130626634105,0.855359725380175,0.08522909874606999
paraboloid,disk,geodesic,stress_primary,fixed k/n from k=8,8,16,0.0048887391317293,0.0067760401856068,0.0018873010538775006,0.0586365970913563,0.019364553702478,-0.039272043388878304,0.0583619648814198,0.0136533709454217,-0.0447085939359981,0.0773046769721128,0.0410551142552508,-0.03624956271686199,0.0666837669872162,0.0468584493322212,-0.019825317654995005,0.720903834862288,0.809103040938156,0.08819920607586795
paraboloid,disk,geodesic,stress_fixed_primary,fixed k/n from k=8,8,16,0.0055914605617849,0.0070880058622817,0.0014965453004967995,0.0586365970913563,0.019364553702478,-0.039272043388878304,0.0777119994985604,0.0233505391209133,-0.05436146037764711,0.072280317213339,0.0390051897636366,-0.033275127449702395,0.0625937526417582,0.0451637994798519,-0.017429953161906306,0.6955571871974,0.811327363013031,0.11577017581563098
paraboloid,disk,geodesic,classical,fixed k=64,64,64,0.0022257417698751,0.003305361562986,0.0010796197931108998,0.0001609292839193,0.0006482761893693,0.00048734690545,0.0042539923101095,0.0175239006553696,0.0132699083452601,0.0162696192077832,0.0175268779250507,0.0012572587172674995,0.0404363319149522,0.040058766711957,-0.00037756520299520036,0.86776236291868,0.959596108859987,0.091833745941307
paraboloid,disk,geodesic,stress,fixed k=64,64,64,0.0015875523309335,0.0022203540919015,0.0006328017609680001,0.0001609292839193,0.0006482761893693,0.00048734690545,0.0016803067396837,0.0037930916666156,0.0021127849269319,0.0124300472561587,0.0128154035439721,0.00038535628781339974,0.0377552837781161,0.0370683052999762,-0.0006869784781399005,0.855130365257066,0.945919295580236,0.09078893032317004
