"case","surface","sampling","replicate","n","radius","regime","k","start","initialization","initial_raw_stress","raw_stress","normalized_stress","iterations","converged","termination","backend_stress","warnings","error","selected","initialization_description"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,1,"supplied",142.401495991577,124.532219130016,0.00323405872565039,49,TRUE,"stress_tolerance",0.0568687851606699,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,2,"random",11756.7456531233,124.532424690443,0.00323406406398368,146,TRUE,"stress_tolerance",0.0568688320961819,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,3,"random",11563.7311136474,124.53240485874,0.00323406354896121,144,TRUE,"stress_tolerance",0.0568688275680205,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,1,"supplied",167.688124094418,145.139493208243,0.00331414179075634,55,TRUE,"stress_tolerance",0.0575685833658975,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,2,"random",13603.1257312724,145.139534295875,0.00331414272895887,151,TRUE,"stress_tolerance",0.0575685915144613,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,3,"random",13382.6396351105,145.139565828342,0.003314143448977,151,TRUE,"stress_tolerance",0.0575685977680281,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,1,"supplied",2.87728082786579e-26,1.38965220557534e-24,4.17984364943593e-29,1,TRUE,"stress_tolerance",6.32541105346091e-15,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,2,"random",9287.39139625668,0.00196696912869685,5.91631732618749e-08,126,TRUE,"stress_tolerance",0.000243234810968883,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,3,"random",9080.57162878325,0.00217110126973033,6.53031299353599e-08,126,TRUE,"stress_tolerance",0.000255544770912327,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,1,"supplied",166.218404399844,146.877438384731,0.00346266350941845,51,TRUE,"stress_tolerance",0.0588444008332006,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,2,"random",13188.900799024,146.877383958625,0.00346266222631266,150,TRUE,"stress_tolerance",0.0588443899306693,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,3,"random",12968.7280636857,146.877436099442,0.00346266345554231,148,TRUE,"stress_tolerance",0.058844400375416,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,1,"supplied",277.973288911176,186.713941705382,0.0030392134358939,75,TRUE,"stress_tolerance",0.0551290616271845,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,2,"random",18927.4819781949,186.72061756046,0.00303932210131151,229,TRUE,"stress_tolerance",0.0551300471731297,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,3,"random",18621.3189404011,186.722278138397,0.00303934913116655,333,TRUE,"stress_tolerance",0.0551302923188927,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",64,1,"supplied",162.975625802511,144.443660894463,0.00350879971157986,50,TRUE,"stress_tolerance",0.0592351222804503,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",64,2,"random",12766.6367546122,144.443908256857,0.00350880572046313,147,TRUE,"stress_tolerance",0.0592351730010404,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",64,3,"random",12555.8919461934,144.443963375075,0.00350880705938508,146,TRUE,"stress_tolerance",0.0592351843027866,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",8,1,"supplied",189.232167957238,157.914469812396,0.00332802231828645,53,TRUE,"stress_tolerance",0.0576890138439412,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",8,2,"random",14651.5782957774,157.914497481674,0.00332802290141208,146,TRUE,"stress_tolerance",0.057689018897985,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",8,3,"random",14439.2172279748,157.914825757178,0.00332802981976606,153,TRUE,"stress_tolerance",0.0576890788604399,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",128,1,"supplied",166.318613339496,147.702833647361,0.00345872430381586,52,TRUE,"stress_tolerance",0.0588109199368274,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",128,2,"random",13292.4712446099,147.703042681899,0.00345872919873099,152,TRUE,"stress_tolerance",0.0588109615525115,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",128,3,"random",13068.3910632417,147.702862404036,0.0034587249772045,151,TRUE,"stress_tolerance",0.0588109256618573,"","",FALSE,"Gaussian"
