"case","regime","k","preparation","classical","stress"
"paraboloid-disk-rep1-n240-r1","ambient",128,4.017,0.0139999999999958,0.730999999999995
"paraboloid-disk-rep1-n240-r1","ambient",16,0.807999999999993,0.01400000000001,0.676000000000002
"paraboloid-disk-rep1-n240-r1","ambient",239,5.87,0.0100000000000051,0.530000000000001
"paraboloid-disk-rep1-n240-r1","ambient",32,1.22,0.0130000000000052,0.644999999999996
"paraboloid-disk-rep1-n240-r1","ambient",4,0.512,0.0139999999999958,1.128
"paraboloid-disk-rep1-n240-r1","ambient",64,2.181,0.0139999999999958,0.658000000000001
"paraboloid-disk-rep1-n240-r1","ambient",8,0.609999999999999,0.0139999999999958,0.667000000000002
"paraboloid-disk-rep1-n240-r1","geodesic",128,4.564,0.0169999999999959,0.783000000000001
"paraboloid-disk-rep1-n240-r1","geodesic",16,0.829999999999999,0.0140000000000002,0.742
"paraboloid-disk-rep1-n240-r1","geodesic",239,6.332,0.0160000000000018,0.823
"paraboloid-disk-rep1-n240-r1","geodesic",32,1.3,0.0140000000000002,0.707
"paraboloid-disk-rep1-n240-r1","geodesic",4,0.659,0.0149999999999999,3.274
"paraboloid-disk-rep1-n240-r1","geodesic",64,2.269,0.0139999999999993,0.749
"paraboloid-disk-rep1-n240-r1","geodesic",8,0.711,0.0139999999999998,2.119
"paraboloid-disk-rep1-n240-r16","ambient",128,3.71299999999999,0.01400000000001,1.80599999999998
"paraboloid-disk-rep1-n240-r16","ambient",16,0.88900000000001,0.0130000000000052,1.36100000000002
"paraboloid-disk-rep1-n240-r16","ambient",239,5.94299999999998,0.0100000000000193,2.012
"paraboloid-disk-rep1-n240-r16","ambient",32,1.20299999999997,0.01400000000001,2.66899999999998
"paraboloid-disk-rep1-n240-r16","ambient",4,0.525000000000006,0.0139999999999816,1.82500000000002
"paraboloid-disk-rep1-n240-r16","ambient",64,2.071,0.0129999999999768,1.82400000000001
"paraboloid-disk-rep1-n240-r16","ambient",8,0.675999999999988,0.01400000000001,2.67200000000003
"paraboloid-disk-rep1-n240-r16","geodesic",128,4.007,0.0150000000000006,2.275
"paraboloid-disk-rep1-n240-r16","geodesic",16,0.82,0.0129999999999999,2.638
"paraboloid-disk-rep1-n240-r16","geodesic",239,5.93300000000001,0.0160000000000053,2.125
"paraboloid-disk-rep1-n240-r16","geodesic",32,1.302,0.0150000000000006,2.613
"paraboloid-disk-rep1-n240-r16","geodesic",4,0.68,0.0149999999999997,3.247
"paraboloid-disk-rep1-n240-r16","geodesic",64,2.252,0.0150000000000006,2.699
"paraboloid-disk-rep1-n240-r16","geodesic",8,0.601000000000001,0.0139999999999993,1.999
"paraboloid-disk-rep1-n240-r2","ambient",128,3.90899999999999,0.0130000000000052,0.352000000000004
"paraboloid-disk-rep1-n240-r2","ambient",16,0.811000000000007,0.0130000000000052,0.432999999999993
"paraboloid-disk-rep1-n240-r2","ambient",239,5.75200000000001,0.00900000000001455,0.418000000000006
"paraboloid-disk-rep1-n240-r2","ambient",32,1.33500000000001,0.01400000000001,0.325999999999993
"paraboloid-disk-rep1-n240-r2","ambient",4,0.510999999999996,0.0150000000000148,0.828000000000003
"paraboloid-disk-rep1-n240-r2","ambient",64,2.08000000000001,0.0130000000000052,0.435000000000002
"paraboloid-disk-rep1-n240-r2","ambient",8,0.599999999999994,0.01400000000001,0.379999999999995
"paraboloid-disk-rep1-n240-r2","geodesic",128,4.27,0.0159999999999982,0.470999999999997
"paraboloid-disk-rep1-n240-r2","geodesic",16,0.83,0.0129999999999999,0.567
"paraboloid-disk-rep1-n240-r2","geodesic",239,6.37400000000001,0.0169999999999959,0.463999999999999
"paraboloid-disk-rep1-n240-r2","geodesic",32,1.3,0.0150000000000006,0.482000000000003
"paraboloid-disk-rep1-n240-r2","geodesic",4,0.666,0.016,1.85
"paraboloid-disk-rep1-n240-r2","geodesic",64,2.325,0.0160000000000018,0.524000000000001
"paraboloid-disk-rep1-n240-r2","geodesic",8,0.617,0.0140000000000002,0.48
"paraboloid-disk-rep1-n240-r32","ambient",128,4.00900000000001,0.01400000000001,1.499
"paraboloid-disk-rep1-n240-r32","ambient",16,0.810000000000002,0.01400000000001,1.98599999999999
"paraboloid-disk-rep1-n240-r32","ambient",239,6.048,0.0110000000000241,1.5
"paraboloid-disk-rep1-n240-r32","ambient",32,1.21299999999999,0.0130000000000052,1.917
"paraboloid-disk-rep1-n240-r32","ambient",4,0.558999999999997,0.01400000000001,3.92099999999999
"paraboloid-disk-rep1-n240-r32","ambient",64,2.01300000000001,0.0130000000000052,1.59
"paraboloid-disk-rep1-n240-r32","ambient",8,0.646999999999991,0.01400000000001,2.52799999999999
"paraboloid-disk-rep1-n240-r32","geodesic",128,4.149,0.0140000000000029,2.603
"paraboloid-disk-rep1-n240-r32","geodesic",16,0.833,0.0129999999999999,2.81
"paraboloid-disk-rep1-n240-r32","geodesic",239,6.318,0.01400000000001,2.39700000000001
"paraboloid-disk-rep1-n240-r32","geodesic",32,1.293,0.0140000000000029,2.564
"paraboloid-disk-rep1-n240-r32","geodesic",4,0.699,0.0149999999999997,3.191
"paraboloid-disk-rep1-n240-r32","geodesic",64,2.343,0.0180000000000007,2.923
"paraboloid-disk-rep1-n240-r32","geodesic",8,0.633,0.0140000000000011,1.962
"paraboloid-disk-rep1-n240-r4","ambient",128,4.08100000000002,0.0130000000000052,0.392000000000024
"paraboloid-disk-rep1-n240-r4","ambient",16,0.800999999999988,0.0139999999999816,0.449000000000012
"paraboloid-disk-rep1-n240-r4","ambient",239,6.03800000000001,0.0099999999999909,0.468999999999994
"paraboloid-disk-rep1-n240-r4","ambient",32,1.31999999999999,0.0139999999999816,0.367000000000019
"paraboloid-disk-rep1-n240-r4","ambient",4,0.516999999999996,0.0149999999999864,1.077
"paraboloid-disk-rep1-n240-r4","ambient",64,2.08700000000002,0.0139999999999816,0.418000000000006
"paraboloid-disk-rep1-n240-r4","ambient",8,0.594999999999999,0.0139999999999816,0.402999999999992
"paraboloid-disk-rep1-n240-r4","geodesic",128,4.117,0.0139999999999958,0.468000000000004
"paraboloid-disk-rep1-n240-r4","geodesic",16,0.826,0.016,0.484999999999999
"paraboloid-disk-rep1-n240-r4","geodesic",239,6,0.0160000000000053,0.423999999999992
"paraboloid-disk-rep1-n240-r4","geodesic",32,1.292,0.0139999999999993,0.581
